"","year","period","value_earnings","industry_text"
"119",2009,"11",130057,"Total nonfarm"
"120",2009,"12",129788,"Total nonfarm"
"121",2010,"01",129790,"Total nonfarm"
"122",2010,"02",129698,"Total nonfarm"
"123",2010,"03",129879,"Total nonfarm"
"124",2010,"04",130110,"Total nonfarm"
"125",2010,"05",130650,"Total nonfarm"
"126",2010,"06",130511,"Total nonfarm"
"127",2010,"07",130427,"Total nonfarm"
"128",2010,"08",130422,"Total nonfarm"
"129",2010,"09",130357,"Total nonfarm"
"130",2010,"10",130625,"Total nonfarm"
"131",2010,"11",130750,"Total nonfarm"
"132",2010,"12",130822,"Total nonfarm"
"133",2011,"01",130841,"Total nonfarm"
"134",2011,"02",131053,"Total nonfarm"
"135",2011,"03",131288,"Total nonfarm"
"136",2011,"04",131602,"Total nonfarm"
"137",2011,"05",131703,"Total nonfarm"
"138",2011,"06",131939,"Total nonfarm"
"139",2011,"07",131999,"Total nonfarm"
"140",2011,"08",132125,"Total nonfarm"
"141",2011,"09",132358,"Total nonfarm"
"142",2011,"10",132562,"Total nonfarm"
"143",2011,"11",132694,"Total nonfarm"
"144",2011,"12",132896,"Total nonfarm"
"145",2012,"01",133250,"Total nonfarm"
"146",2012,"02",133512,"Total nonfarm"
"147",2012,"03",133752,"Total nonfarm"
"148",2012,"04",133834,"Total nonfarm"
"149",2012,"05",133934,"Total nonfarm"
"150",2012,"06",134007,"Total nonfarm"
"151",2012,"07",134159,"Total nonfarm"
"152",2012,"08",134331,"Total nonfarm"
"153",2012,"09",134518,"Total nonfarm"
"154",2012,"10",134677,"Total nonfarm"
"155",2012,"11",134833,"Total nonfarm"
"156",2012,"12",135072,"Total nonfarm"
"157",2013,"01",135263,"Total nonfarm"
"158",2013,"02",135541,"Total nonfarm"
"159",2013,"03",135680,"Total nonfarm"
"160",2013,"04",135871,"Total nonfarm"
"161",2013,"05",136093,"Total nonfarm"
"162",2013,"06",136274,"Total nonfarm"
"163",2013,"07",136386,"Total nonfarm"
"164",2013,"08",136628,"Total nonfarm"
"165",2013,"09",136815,"Total nonfarm"
"166",2013,"10",137040,"Total nonfarm"
"167",2013,"11",137304,"Total nonfarm"
"168",2013,"12",137373,"Total nonfarm"
"169",2014,"01",137548,"Total nonfarm"
"170",2014,"02",137714,"Total nonfarm"
"171",2014,"03",137968,"Total nonfarm"
"172",2014,"04",138293,"Total nonfarm"
"173",2014,"05",138511,"Total nonfarm"
"174",2014,"06",138837,"Total nonfarm"
"175",2014,"07",139069,"Total nonfarm"
"176",2014,"08",139257,"Total nonfarm"
"177",2014,"09",139566,"Total nonfarm"
"178",2014,"10",139818,"Total nonfarm"
"179",2014,"11",140109,"Total nonfarm"
"180",2014,"12",140377,"Total nonfarm"
"181",2015,"01",140568,"Total nonfarm"
"182",2015,"02",140839,"Total nonfarm"
"183",2015,"03",140910,"Total nonfarm"
"184",2015,"04",141194,"Total nonfarm"
"185",2015,"05",141525,"Total nonfarm"
"186",2015,"06",141699,"Total nonfarm"
"187",2015,"07",142001,"Total nonfarm"
"188",2015,"08",142126,"Total nonfarm"
"189",2015,"09",142281,"Total nonfarm"
"190",2015,"10",142587,"Total nonfarm"
"191",2015,"11",142824,"Total nonfarm"
"192",2015,"12",143097,"Total nonfarm"
"193",2016,"01",143170,"Total nonfarm"
"194",2016,"02",143433,"Total nonfarm"
"195",2016,"03",143662,"Total nonfarm"
"196",2016,"04",143849,"Total nonfarm"
"197",2016,"05",143891,"Total nonfarm"
"198",2016,"06",144158,"Total nonfarm"
"199",2016,"07",144512,"Total nonfarm"
"200",2016,"08",144647,"Total nonfarm"
"201",2016,"09",144916,"Total nonfarm"
"202",2016,"10",145061,"Total nonfarm"
"203",2016,"11",145212,"Total nonfarm"
"204",2016,"12",145442,"Total nonfarm"
"205",2017,"01",145627,"Total nonfarm"
"206",2017,"02",145815,"Total nonfarm"
"207",2017,"03",145944,"Total nonfarm"
"208",2017,"04",146141,"Total nonfarm"
"209",2017,"05",146296,"Total nonfarm"
"210",2017,"06",146512,"Total nonfarm"
"211",2017,"07",146727,"Total nonfarm"
"212",2017,"08",146911,"Total nonfarm"
"213",2017,"09",146929,"Total nonfarm"
"214",2017,"10",147196,"Total nonfarm"
"215",2017,"11",147421,"Total nonfarm"
"216",2017,"12",147551,"Total nonfarm"
"217",2018,"01",147672,"Total nonfarm"
"218",2018,"02",148078,"Total nonfarm"
"219",2018,"03",148254,"Total nonfarm"
"220",2018,"04",148391,"Total nonfarm"
"221",2018,"05",148669,"Total nonfarm"
"222",2018,"06",148888,"Total nonfarm"
"223",2018,"07",149024,"Total nonfarm"
"224",2018,"08",149268,"Total nonfarm"
"225",2018,"09",149348,"Total nonfarm"
"226",2018,"10",149549,"Total nonfarm"
"227",2018,"11",149683,"Total nonfarm"
"228",2018,"12",149865,"Total nonfarm"
"229",2019,"01",150134,"Total nonfarm"
"230",2019,"02",150135,"Total nonfarm"
"231",2019,"03",150282,"Total nonfarm"
"232",2019,"04",150492,"Total nonfarm"
"233",2019,"05",150577,"Total nonfarm"
"234",2019,"06",150759,"Total nonfarm"
"235",2019,"07",150953,"Total nonfarm"
"236",2019,"08",151160,"Total nonfarm"
"237",2019,"09",151368,"Total nonfarm"
"238",2019,"10",151553,"Total nonfarm"
"239",2019,"11",151814,"Total nonfarm"
"240",2019,"12",151998,"Total nonfarm"
"241",2020,"01",152212,"Total nonfarm"
"242",2020,"02",152463,"Total nonfarm"
"243",2020,"03",151090,"Total nonfarm"
"244",2020,"04",130303,"Total nonfarm"
"245",2020,"05",133028,"Total nonfarm"
"246",2020,"06",137819,"Total nonfarm"
"247",2020,"07",139582,"Total nonfarm"
"248",2000,"01",592,"Mining and logging"
"249",2000,"02",594,"Mining and logging"
"250",2000,"03",592,"Mining and logging"
"251",2000,"04",596,"Mining and logging"
"252",2000,"05",598,"Mining and logging"
"253",2000,"06",598,"Mining and logging"
"254",2000,"07",601,"Mining and logging"
"255",2000,"08",600,"Mining and logging"
"256",2000,"09",605,"Mining and logging"
"257",2000,"10",607,"Mining and logging"
"258",2000,"11",604,"Mining and logging"
"259",2000,"12",602,"Mining and logging"
"260",2001,"01",605,"Mining and logging"
"261",2001,"02",605,"Mining and logging"
"262",2001,"03",609,"Mining and logging"
"263",2001,"04",608,"Mining and logging"
"264",2001,"05",609,"Mining and logging"
"265",2001,"06",610,"Mining and logging"
"266",2001,"07",610,"Mining and logging"
"267",2001,"08",608,"Mining and logging"
"268",2001,"09",607,"Mining and logging"
"269",2001,"10",602,"Mining and logging"
"270",2001,"11",600,"Mining and logging"
"271",2001,"12",598,"Mining and logging"
"272",2002,"01",599,"Mining and logging"
"273",2002,"02",595,"Mining and logging"
"274",2002,"03",588,"Mining and logging"
"275",2002,"04",587,"Mining and logging"
"276",2002,"05",583,"Mining and logging"
"277",2002,"06",579,"Mining and logging"
"278",2002,"07",577,"Mining and logging"
"279",2002,"08",577,"Mining and logging"
"280",2002,"09",576,"Mining and logging"
"281",2002,"10",576,"Mining and logging"
"282",2002,"11",577,"Mining and logging"
"283",2002,"12",577,"Mining and logging"
"284",2003,"01",576,"Mining and logging"
"285",2003,"02",575,"Mining and logging"
"286",2003,"03",570,"Mining and logging"
"287",2003,"04",566,"Mining and logging"
"288",2003,"05",569,"Mining and logging"
"289",2003,"06",572,"Mining and logging"
"290",2003,"07",571,"Mining and logging"
"291",2003,"08",570,"Mining and logging"
"292",2003,"09",570,"Mining and logging"
"293",2003,"10",573,"Mining and logging"
"294",2003,"11",576,"Mining and logging"
"295",2003,"12",576,"Mining and logging"
"296",2004,"01",577,"Mining and logging"
"297",2004,"02",576,"Mining and logging"
"298",2004,"03",584,"Mining and logging"
"299",2004,"04",586,"Mining and logging"
"300",2004,"05",591,"Mining and logging"
"301",2004,"06",591,"Mining and logging"
"302",2004,"07",593,"Mining and logging"
"303",2004,"08",596,"Mining and logging"
"304",2004,"09",597,"Mining and logging"
"305",2004,"10",595,"Mining and logging"
"306",2004,"11",599,"Mining and logging"
"307",2004,"12",601,"Mining and logging"
"308",2005,"01",606,"Mining and logging"
"309",2005,"02",610,"Mining and logging"
"310",2005,"03",616,"Mining and logging"
"311",2005,"04",620,"Mining and logging"
"312",2005,"05",622,"Mining and logging"
"313",2005,"06",625,"Mining and logging"
"314",2005,"07",626,"Mining and logging"
"315",2005,"08",631,"Mining and logging"
"316",2005,"09",636,"Mining and logging"
"317",2005,"10",640,"Mining and logging"
"318",2005,"11",646,"Mining and logging"
"319",2005,"12",650,"Mining and logging"
"320",2006,"01",656,"Mining and logging"
"321",2006,"02",662,"Mining and logging"
"322",2006,"03",669,"Mining and logging"
"323",2006,"04",679,"Mining and logging"
"324",2006,"05",681,"Mining and logging"
"325",2006,"06",686,"Mining and logging"
"326",2006,"07",690,"Mining and logging"
"327",2006,"08",693,"Mining and logging"
"328",2006,"09",694,"Mining and logging"
"329",2006,"10",699,"Mining and logging"
"330",2006,"11",701,"Mining and logging"
"331",2006,"12",705,"Mining and logging"
"332",2007,"01",706,"Mining and logging"
"333",2007,"02",711,"Mining and logging"
"334",2007,"03",715,"Mining and logging"
"335",2007,"04",719,"Mining and logging"
"336",2007,"05",721,"Mining and logging"
"337",2007,"06",725,"Mining and logging"
"338",2007,"07",728,"Mining and logging"
"339",2007,"08",727,"Mining and logging"
"340",2007,"09",726,"Mining and logging"
"341",2007,"10",727,"Mining and logging"
"342",2007,"11",735,"Mining and logging"
"343",2007,"12",740,"Mining and logging"
"344",2008,"01",746,"Mining and logging"
"345",2008,"02",748,"Mining and logging"
"346",2008,"03",755,"Mining and logging"
"347",2008,"04",755,"Mining and logging"
"348",2008,"05",761,"Mining and logging"
"349",2008,"06",766,"Mining and logging"
"350",2008,"07",770,"Mining and logging"
"351",2008,"08",778,"Mining and logging"
"352",2008,"09",782,"Mining and logging"
"353",2008,"10",781,"Mining and logging"
"354",2008,"11",776,"Mining and logging"
"355",2008,"12",771,"Mining and logging"
"356",2009,"01",761,"Mining and logging"
"357",2009,"02",749,"Mining and logging"
"358",2009,"03",728,"Mining and logging"
"359",2009,"04",710,"Mining and logging"
"360",2009,"05",693,"Mining and logging"
"361",2009,"06",686,"Mining and logging"
"362",2009,"07",678,"Mining and logging"
"363",2009,"08",670,"Mining and logging"
"364",2009,"09",665,"Mining and logging"
"365",2009,"10",661,"Mining and logging"
"366",2009,"11",664,"Mining and logging"
"367",2009,"12",663,"Mining and logging"
"368",2010,"01",667,"Mining and logging"
"369",2010,"02",674,"Mining and logging"
"370",2010,"03",682,"Mining and logging"
"371",2010,"04",687,"Mining and logging"
"372",2010,"05",697,"Mining and logging"
"373",2010,"06",702,"Mining and logging"
"374",2010,"07",708,"Mining and logging"
"375",2010,"08",716,"Mining and logging"
"376",2010,"09",723,"Mining and logging"
"377",2010,"10",731,"Mining and logging"
"378",2010,"11",736,"Mining and logging"
"379",2010,"12",734,"Mining and logging"
"380",2011,"01",736,"Mining and logging"
"381",2011,"02",739,"Mining and logging"
"382",2011,"03",754,"Mining and logging"
"383",2011,"04",768,"Mining and logging"
"384",2011,"05",778,"Mining and logging"
"385",2011,"06",790,"Mining and logging"
"386",2011,"07",801,"Mining and logging"
"387",2011,"08",804,"Mining and logging"
"388",2011,"09",814,"Mining and logging"
"389",2011,"10",820,"Mining and logging"
"390",2011,"11",824,"Mining and logging"
"391",2011,"12",831,"Mining and logging"
"392",2012,"01",840,"Mining and logging"
"393",2012,"02",845,"Mining and logging"
"394",2012,"03",849,"Mining and logging"
"395",2012,"04",850,"Mining and logging"
"396",2012,"05",855,"Mining and logging"
"397",2012,"06",854,"Mining and logging"
"398",2012,"07",851,"Mining and logging"
"399",2012,"08",851,"Mining and logging"
"400",2012,"09",846,"Mining and logging"
"401",2012,"10",837,"Mining and logging"
"402",2012,"11",843,"Mining and logging"
"403",2012,"12",848,"Mining and logging"
"404",2013,"01",851,"Mining and logging"
"405",2013,"02",858,"Mining and logging"
"406",2013,"03",859,"Mining and logging"
"407",2013,"04",857,"Mining and logging"
"408",2013,"05",862,"Mining and logging"
"409",2013,"06",865,"Mining and logging"
"410",2013,"07",862,"Mining and logging"
"411",2013,"08",864,"Mining and logging"
"412",2013,"09",868,"Mining and logging"
"413",2013,"10",870,"Mining and logging"
"414",2013,"11",869,"Mining and logging"
"415",2013,"12",866,"Mining and logging"
"416",2014,"01",871,"Mining and logging"
"417",2014,"02",875,"Mining and logging"
"418",2014,"03",879,"Mining and logging"
"419",2014,"04",886,"Mining and logging"
"420",2014,"05",887,"Mining and logging"
"421",2014,"06",892,"Mining and logging"
"422",2014,"07",897,"Mining and logging"
"423",2014,"08",898,"Mining and logging"
"424",2014,"09",903,"Mining and logging"
"425",2014,"10",901,"Mining and logging"
"426",2014,"11",900,"Mining and logging"
"427",2014,"12",896,"Mining and logging"
"428",2015,"01",888,"Mining and logging"
"429",2015,"02",875,"Mining and logging"
"430",2015,"03",859,"Mining and logging"
"431",2015,"04",843,"Mining and logging"
"432",2015,"05",820,"Mining and logging"
"433",2015,"06",816,"Mining and logging"
"434",2015,"07",805,"Mining and logging"
"435",2015,"08",794,"Mining and logging"
"436",2015,"09",779,"Mining and logging"
"437",2015,"10",771,"Mining and logging"
"438",2015,"11",756,"Mining and logging"
"439",2015,"12",746,"Mining and logging"
"440",2016,"01",731,"Mining and logging"
"441",2016,"02",711,"Mining and logging"
"442",2016,"03",691,"Mining and logging"
"443",2016,"04",678,"Mining and logging"
"444",2016,"05",666,"Mining and logging"
"445",2016,"06",656,"Mining and logging"
"446",2016,"07",652,"Mining and logging"
"447",2016,"08",647,"Mining and logging"
"448",2016,"09",647,"Mining and logging"
"449",2016,"10",644,"Mining and logging"
"450",2016,"11",647,"Mining and logging"
"451",2016,"12",648,"Mining and logging"
"452",2017,"01",649,"Mining and logging"
"453",2017,"02",655,"Mining and logging"
"454",2017,"03",660,"Mining and logging"
"455",2017,"04",669,"Mining and logging"
"456",2017,"05",673,"Mining and logging"
"457",2017,"06",677,"Mining and logging"
"458",2017,"07",679,"Mining and logging"
"459",2017,"08",684,"Mining and logging"
"460",2017,"09",687,"Mining and logging"
"461",2017,"10",687,"Mining and logging"
"462",2017,"11",693,"Mining and logging"
"463",2017,"12",692,"Mining and logging"
"464",2018,"01",699,"Mining and logging"
"465",2018,"02",706,"Mining and logging"
"466",2018,"03",714,"Mining and logging"
"467",2018,"04",722,"Mining and logging"
"468",2018,"05",724,"Mining and logging"
"469",2018,"06",729,"Mining and logging"
"470",2018,"07",729,"Mining and logging"
"471",2018,"08",737,"Mining and logging"
"472",2018,"09",739,"Mining and logging"
"473",2018,"10",742,"Mining and logging"
"474",2018,"11",737,"Mining and logging"
"475",2018,"12",741,"Mining and logging"
"476",2019,"01",746,"Mining and logging"
"477",2019,"02",741,"Mining and logging"
"478",2019,"03",741,"Mining and logging"
"479",2019,"04",741,"Mining and logging"
"480",2019,"05",743,"Mining and logging"
"481",2019,"06",741,"Mining and logging"
"482",2019,"07",736,"Mining and logging"
"483",2019,"08",731,"Mining and logging"
"484",2019,"09",731,"Mining and logging"
"485",2019,"10",735,"Mining and logging"
"486",2019,"11",724,"Mining and logging"
"487",2019,"12",715,"Mining and logging"
"488",2020,"01",712,"Mining and logging"
"489",2020,"02",714,"Mining and logging"
"490",2020,"03",706,"Mining and logging"
"491",2020,"04",653,"Mining and logging"
"492",2020,"05",633,"Mining and logging"
"493",2020,"06",628,"Mining and logging"
"494",2020,"07",621,"Mining and logging"
"495",2000,"01",6752,"Construction"
"496",2000,"02",6730,"Construction"
"497",2000,"03",6811,"Construction"
"498",2000,"04",6794,"Construction"
"499",2000,"05",6770,"Construction"
"500",2000,"06",6778,"Construction"
"501",2000,"07",6794,"Construction"
"502",2000,"08",6796,"Construction"
"503",2000,"09",6807,"Construction"
"504",2000,"10",6814,"Construction"
"505",2000,"11",6817,"Construction"
"506",2000,"12",6792,"Construction"
"507",2001,"01",6824,"Construction"
"508",2001,"02",6841,"Construction"
"509",2001,"03",6862,"Construction"
"510",2001,"04",6844,"Construction"
"511",2001,"05",6849,"Construction"
"512",2001,"06",6840,"Construction"
"513",2001,"07",6845,"Construction"
"514",2001,"08",6827,"Construction"
"515",2001,"09",6813,"Construction"
"516",2001,"10",6804,"Construction"
"517",2001,"11",6784,"Construction"
"518",2001,"12",6785,"Construction"
"519",2002,"01",6775,"Construction"
"520",2002,"02",6766,"Construction"
"521",2002,"03",6755,"Construction"
"522",2002,"04",6710,"Construction"
"523",2002,"05",6684,"Construction"
"524",2002,"06",6701,"Construction"
"525",2002,"07",6688,"Construction"
"526",2002,"08",6701,"Construction"
"527",2002,"09",6702,"Construction"
"528",2002,"10",6689,"Construction"
"529",2002,"11",6713,"Construction"
"530",2002,"12",6700,"Construction"
"531",2003,"01",6704,"Construction"
"532",2003,"02",6667,"Construction"
"533",2003,"03",6654,"Construction"
"534",2003,"04",6689,"Construction"
"535",2003,"05",6706,"Construction"
"536",2003,"06",6723,"Construction"
"537",2003,"07",6735,"Construction"
"538",2003,"08",6760,"Construction"
"539",2003,"09",6783,"Construction"
"540",2003,"10",6784,"Construction"
"541",2003,"11",6796,"Construction"
"542",2003,"12",6827,"Construction"
"543",2004,"01",6848,"Construction"
"544",2004,"02",6838,"Construction"
"545",2004,"03",6887,"Construction"
"546",2004,"04",6901,"Construction"
"547",2004,"05",6948,"Construction"
"548",2004,"06",6962,"Construction"
"549",2004,"07",6977,"Construction"
"550",2004,"08",7003,"Construction"
"551",2004,"09",7029,"Construction"
"552",2004,"10",7077,"Construction"
"553",2004,"11",7091,"Construction"
"554",2004,"12",7117,"Construction"
"555",2005,"01",7095,"Construction"
"556",2005,"02",7153,"Construction"
"557",2005,"03",7181,"Construction"
"558",2005,"04",7266,"Construction"
"559",2005,"05",7294,"Construction"
"560",2005,"06",7333,"Construction"
"561",2005,"07",7353,"Construction"
"562",2005,"08",7394,"Construction"
"563",2005,"09",7415,"Construction"
"564",2005,"10",7460,"Construction"
"565",2005,"11",7524,"Construction"
"566",2005,"12",7533,"Construction"
"567",2006,"01",7601,"Construction"
"568",2006,"02",7664,"Construction"
"569",2006,"03",7689,"Construction"
"570",2006,"04",7726,"Construction"
"571",2006,"05",7713,"Construction"
"572",2006,"06",7699,"Construction"
"573",2006,"07",7712,"Construction"
"574",2006,"08",7720,"Construction"
"575",2006,"09",7718,"Construction"
"576",2006,"10",7682,"Construction"
"577",2006,"11",7666,"Construction"
"578",2006,"12",7685,"Construction"
"579",2007,"01",7725,"Construction"
"580",2007,"02",7626,"Construction"
"581",2007,"03",7706,"Construction"
"582",2007,"04",7686,"Construction"
"583",2007,"05",7673,"Construction"
"584",2007,"06",7687,"Construction"
"585",2007,"07",7660,"Construction"
"586",2007,"08",7610,"Construction"
"587",2007,"09",7577,"Construction"
"588",2007,"10",7565,"Construction"
"589",2007,"11",7523,"Construction"
"590",2007,"12",7490,"Construction"
"591",2008,"01",7476,"Construction"
"592",2008,"02",7453,"Construction"
"593",2008,"03",7406,"Construction"
"594",2008,"04",7327,"Construction"
"595",2008,"05",7274,"Construction"
"596",2008,"06",7213,"Construction"
"597",2008,"07",7160,"Construction"
"598",2008,"08",7114,"Construction"
"599",2008,"09",7044,"Construction"
"600",2008,"10",6967,"Construction"
"601",2008,"11",6813,"Construction"
"602",2008,"12",6701,"Construction"
"603",2009,"01",6567,"Construction"
"604",2009,"02",6446,"Construction"
"605",2009,"03",6291,"Construction"
"606",2009,"04",6154,"Construction"
"607",2009,"05",6100,"Construction"
"608",2009,"06",6010,"Construction"
"609",2009,"07",5932,"Construction"
"610",2009,"08",5855,"Construction"
"611",2009,"09",5787,"Construction"
"612",2009,"10",5716,"Construction"
"613",2009,"11",5696,"Construction"
"614",2009,"12",5654,"Construction"
"615",2010,"01",5580,"Construction"
"616",2010,"02",5500,"Construction"
"617",2010,"03",5537,"Construction"
"618",2010,"04",5553,"Construction"
"619",2010,"05",5520,"Construction"
"620",2010,"06",5516,"Construction"
"621",2010,"07",5508,"Construction"
"622",2010,"08",5524,"Construction"
"623",2010,"09",5501,"Construction"
"624",2010,"10",5508,"Construction"
"625",2010,"11",5506,"Construction"
"626",2010,"12",5467,"Construction"
"627",2011,"01",5427,"Construction"
"628",2011,"02",5451,"Construction"
"629",2011,"03",5477,"Construction"
"630",2011,"04",5485,"Construction"
"631",2011,"05",5516,"Construction"
"632",2011,"06",5528,"Construction"
"633",2011,"07",5547,"Construction"
"634",2011,"08",5552,"Construction"
"635",2011,"09",5584,"Construction"
"636",2011,"10",5588,"Construction"
"637",2011,"11",5593,"Construction"
"638",2011,"12",5611,"Construction"
"639",2012,"01",5626,"Construction"
"640",2012,"02",5629,"Construction"
"641",2012,"03",5625,"Construction"
"642",2012,"04",5618,"Construction"
"643",2012,"05",5604,"Construction"
"644",2012,"06",5621,"Construction"
"645",2012,"07",5632,"Construction"
"646",2012,"08",5648,"Construction"
"647",2012,"09",5661,"Construction"
"648",2012,"10",5674,"Construction"
"649",2012,"11",5684,"Construction"
"650",2012,"12",5724,"Construction"
"651",2013,"01",5746,"Construction"
"652",2013,"02",5784,"Construction"
"653",2013,"03",5802,"Construction"
"654",2013,"04",5796,"Construction"
"655",2013,"05",5829,"Construction"
"656",2013,"06",5855,"Construction"
"657",2013,"07",5859,"Construction"
"658",2013,"08",5878,"Construction"
"659",2013,"09",5910,"Construction"
"660",2013,"10",5931,"Construction"
"661",2013,"11",5963,"Construction"
"662",2013,"12",5932,"Construction"
"663",2014,"01",5985,"Construction"
"664",2014,"02",6007,"Construction"
"665",2014,"03",6038,"Construction"
"666",2014,"04",6084,"Construction"
"667",2014,"05",6109,"Construction"
"668",2014,"06",6133,"Construction"
"669",2014,"07",6178,"Construction"
"670",2014,"08",6210,"Construction"
"671",2014,"09",6242,"Construction"
"672",2014,"10",6259,"Construction"
"673",2014,"11",6272,"Construction"
"674",2014,"12",6293,"Construction"
"675",2015,"01",6320,"Construction"
"676",2015,"02",6361,"Construction"
"677",2015,"03",6334,"Construction"
"678",2015,"04",6392,"Construction"
"679",2015,"05",6427,"Construction"
"680",2015,"06",6441,"Construction"
"681",2015,"07",6472,"Construction"
"682",2015,"08",6490,"Construction"
"683",2015,"09",6508,"Construction"
"684",2015,"10",6547,"Construction"
"685",2015,"11",6598,"Construction"
"686",2015,"12",6630,"Construction"
"687",2016,"01",6620,"Construction"
"688",2016,"02",6650,"Construction"
"689",2016,"03",6680,"Construction"
"690",2016,"04",6701,"Construction"
"691",2016,"05",6691,"Construction"
"692",2016,"06",6702,"Construction"
"693",2016,"07",6736,"Construction"
