"","year","period","value_emp","sexs_code","industry_text"
"76",2007,"08","        1035",0,"Agriculture, forestry, fishing, and hunting"
"77",2007,"09","        1197",0,"Agriculture, forestry, fishing, and hunting"
"78",2004,"06","        1233",0,"Agriculture, forestry, fishing, and hunting"
"79",2005,"09","        1160",0,"Agriculture, forestry, fishing, and hunting"
"80",2018,"08","        1565",0,"Agriculture, forestry, fishing, and hunting"
"81",2018,"09","        1685",0,"Agriculture, forestry, fishing, and hunting"
"82",2018,"10","        1678",0,"Agriculture, forestry, fishing, and hunting"
"83",2018,"11","        1771",0,"Agriculture, forestry, fishing, and hunting"
"84",2018,"12","        1718",0,"Agriculture, forestry, fishing, and hunting"
"85",2019,"01","        1731",0,"Agriculture, forestry, fishing, and hunting"
"86",2006,"03","        1238",0,"Agriculture, forestry, fishing, and hunting"
"87",2006,"04","        1319",0,"Agriculture, forestry, fishing, and hunting"
"88",2006,"05","        1288",0,"Agriculture, forestry, fishing, and hunting"
"89",2006,"06","        1341",0,"Agriculture, forestry, fishing, and hunting"
"90",2006,"07","        1387",0,"Agriculture, forestry, fishing, and hunting"
"91",2005,"08","        1226",0,"Agriculture, forestry, fishing, and hunting"
"92",2006,"09","        1210",0,"Agriculture, forestry, fishing, and hunting"
"93",2009,"12","        1307",0,"Agriculture, forestry, fishing, and hunting"
"94",2010,"01","        1341",0,"Agriculture, forestry, fishing, and hunting"
"95",2000,"01","        1553",0,"Agriculture, forestry, fishing, and hunting"
"96",2000,"02","        1581",0,"Agriculture, forestry, fishing, and hunting"
"97",2000,"03","        1514",0,"Agriculture, forestry, fishing, and hunting"
"98",2000,"04","        1454",0,"Agriculture, forestry, fishing, and hunting"
"99",2000,"05","        1392",0,"Agriculture, forestry, fishing, and hunting"
"100",2000,"06","        1422",0,"Agriculture, forestry, fishing, and hunting"
"101",2000,"07","        1362",0,"Agriculture, forestry, fishing, and hunting"
"102",2000,"08","        1366",0,"Agriculture, forestry, fishing, and hunting"
"103",2000,"09","        1342",0,"Agriculture, forestry, fishing, and hunting"
"104",2006,"08","        1283",0,"Agriculture, forestry, fishing, and hunting"
"105",2010,"12","        1378",0,"Agriculture, forestry, fishing, and hunting"
"106",2011,"01","        1389",0,"Agriculture, forestry, fishing, and hunting"
"107",2011,"02","        1355",0,"Agriculture, forestry, fishing, and hunting"
"108",2004,"08","        1280",0,"Agriculture, forestry, fishing, and hunting"
"109",2004,"09","        1251",0,"Agriculture, forestry, fishing, and hunting"
"110",2014,"05","        1286",0,"Agriculture, forestry, fishing, and hunting"
"111",2011,"05","        1393",0,"Agriculture, forestry, fishing, and hunting"
"112",2011,"06","        1406",0,"Agriculture, forestry, fishing, and hunting"
"113",2008,"06","        1265",0,"Agriculture, forestry, fishing, and hunting"
"114",2018,"01","        1640",0,"Agriculture, forestry, fishing, and hunting"
"115",2018,"02","        1628",0,"Agriculture, forestry, fishing, and hunting"
"116",2018,"04","        1516",0,"Agriculture, forestry, fishing, and hunting"
"117",2010,"11","        1382",0,"Agriculture, forestry, fishing, and hunting"
"118",2005,"06","        1287",0,"Agriculture, forestry, fishing, and hunting"
"119",2009,"02","        1224",0,"Agriculture, forestry, fishing, and hunting"
"120",2002,"03","        1286",0,"Agriculture, forestry, fishing, and hunting"
"121",2002,"04","        1333",0,"Agriculture, forestry, fishing, and hunting"
"122",2002,"05","        1268",0,"Agriculture, forestry, fishing, and hunting"
"123",2012,"04","        1393",0,"Agriculture, forestry, fishing, and hunting"
"124",2012,"05","        1440",0,"Agriculture, forestry, fishing, and hunting"
"125",2012,"06","        1418",0,"Agriculture, forestry, fishing, and hunting"
"126",2012,"07","        1407",0,"Agriculture, forestry, fishing, and hunting"
"127",2012,"08","        1364",0,"Agriculture, forestry, fishing, and hunting"
"128",2012,"09","        1370",0,"Agriculture, forestry, fishing, and hunting"
"129",2012,"10","        1365",0,"Agriculture, forestry, fishing, and hunting"
"130",2012,"11","        1299",0,"Agriculture, forestry, fishing, and hunting"
"131",2012,"12","        1284",0,"Agriculture, forestry, fishing, and hunting"
"132",2013,"01","        1245",0,"Agriculture, forestry, fishing, and hunting"
"133",2003,"04","        1209",0,"Agriculture, forestry, fishing, and hunting"
"134",2003,"05","        1213",0,"Agriculture, forestry, fishing, and hunting"
"135",2003,"06","        1226",0,"Agriculture, forestry, fishing, and hunting"
"136",2003,"07","        1215",0,"Agriculture, forestry, fishing, and hunting"
"137",2003,"08","        1345",0,"Agriculture, forestry, fishing, and hunting"
"138",2003,"09","        1426",0,"Agriculture, forestry, fishing, and hunting"
"139",2013,"06","        1295",0,"Agriculture, forestry, fishing, and hunting"
"140",2013,"07","        1338",0,"Agriculture, forestry, fishing, and hunting"
"141",2013,"08","        1366",0,"Agriculture, forestry, fishing, and hunting"
"142",2013,"09","        1390",0,"Agriculture, forestry, fishing, and hunting"
"143",2013,"10","        1330",0,"Agriculture, forestry, fishing, and hunting"
"144",2013,"11","        1282",0,"Agriculture, forestry, fishing, and hunting"
"145",2013,"12","        1393",0,"Agriculture, forestry, fishing, and hunting"
"146",2014,"01","        1392",0,"Agriculture, forestry, fishing, and hunting"
"147",2014,"02","        1376",0,"Agriculture, forestry, fishing, and hunting"
"148",2017,"06","        1639",0,"Agriculture, forestry, fishing, and hunting"
"149",2017,"07","        1608",0,"Agriculture, forestry, fishing, and hunting"
"150",2017,"08","        1634",0,"Agriculture, forestry, fishing, and hunting"
"151",2004,"11","        1220",0,"Agriculture, forestry, fishing, and hunting"
"152",2004,"12","        1185",0,"Agriculture, forestry, fishing, and hunting"
"153",2011,"07","        1415",0,"Agriculture, forestry, fishing, and hunting"
"154",2011,"08","        1470",0,"Agriculture, forestry, fishing, and hunting"
"155",2005,"02","        1179",0,"Agriculture, forestry, fishing, and hunting"
"156",2018,"03","        1505",0,"Agriculture, forestry, fishing, and hunting"
"157",2005,"04","        1207",0,"Agriculture, forestry, fishing, and hunting"
"158",2001,"12","        1237",0,"Agriculture, forestry, fishing, and hunting"
"159",2005,"07","        1282",0,"Agriculture, forestry, fishing, and hunting"
"160",2015,"02","        1566",0,"Agriculture, forestry, fishing, and hunting"
"161",2015,"03","        1590",0,"Agriculture, forestry, fishing, and hunting"
"162",2015,"04","        1562",0,"Agriculture, forestry, fishing, and hunting"
"163",2005,"11","        1212",0,"Agriculture, forestry, fishing, and hunting"
"164",2005,"12","        1168",0,"Agriculture, forestry, fishing, and hunting"
"165",2015,"08","        1455",0,"Agriculture, forestry, fishing, and hunting"
"166",2015,"09","        1552",0,"Agriculture, forestry, fishing, and hunting"
"167",2015,"10","        1587",0,"Agriculture, forestry, fishing, and hunting"
"168",2015,"11","        1546",0,"Agriculture, forestry, fishing, and hunting"
"169",2015,"12","        1566",0,"Agriculture, forestry, fishing, and hunting"
"170",2016,"01","        1514",0,"Agriculture, forestry, fishing, and hunting"
"171",2016,"02","        1563",0,"Agriculture, forestry, fishing, and hunting"
"172",2016,"03","        1635",0,"Agriculture, forestry, fishing, and hunting"
"173",2016,"04","        1686",0,"Agriculture, forestry, fishing, and hunting"
"174",2016,"05","        1667",0,"Agriculture, forestry, fishing, and hunting"
"175",2016,"06","        1648",0,"Agriculture, forestry, fishing, and hunting"
"176",2016,"07","        1624",0,"Agriculture, forestry, fishing, and hunting"
"177",2016,"08","        1648",0,"Agriculture, forestry, fishing, and hunting"
"178",2016,"09","        1559",0,"Agriculture, forestry, fishing, and hunting"
"179",2016,"10","        1486",0,"Agriculture, forestry, fishing, and hunting"
"180",2016,"11","        1533",0,"Agriculture, forestry, fishing, and hunting"
"181",2016,"12","        1435",0,"Agriculture, forestry, fishing, and hunting"
"182",2017,"01","        1579",0,"Agriculture, forestry, fishing, and hunting"
"183",2017,"02","        1574",0,"Agriculture, forestry, fishing, and hunting"
"184",2017,"03","        1656",0,"Agriculture, forestry, fishing, and hunting"
"185",2017,"04","        1755",0,"Agriculture, forestry, fishing, and hunting"
"186",2007,"10","        1186",0,"Agriculture, forestry, fishing, and hunting"
"187",2007,"11","        1218",0,"Agriculture, forestry, fishing, and hunting"
"188",2017,"05","        1648",0,"Agriculture, forestry, fishing, and hunting"
"189",2014,"03","        1353",0,"Agriculture, forestry, fishing, and hunting"
"190",2014,"04","        1364",0,"Agriculture, forestry, fishing, and hunting"
"191",2017,"09","        1568",0,"Agriculture, forestry, fishing, and hunting"
"192",2017,"10","        1717",0,"Agriculture, forestry, fishing, and hunting"
"193",2017,"11","        1657",0,"Agriculture, forestry, fishing, and hunting"
"194",2017,"12","        1660",0,"Agriculture, forestry, fishing, and hunting"
"195",2014,"07","        1467",0,"Agriculture, forestry, fishing, and hunting"
"196",2005,"03","        1209",0,"Agriculture, forestry, fishing, and hunting"
"197",2014,"09","        1577",0,"Agriculture, forestry, fishing, and hunting"
"198",2005,"05","        1226",0,"Agriculture, forestry, fishing, and hunting"
"199",2002,"01","        1300",0,"Agriculture, forestry, fishing, and hunting"
"200",2018,"05","        1575",0,"Agriculture, forestry, fishing, and hunting"
"201",2018,"06","        1605",0,"Agriculture, forestry, fishing, and hunting"
"202",2018,"07","        1690",0,"Agriculture, forestry, fishing, and hunting"
"203",2012,"03","        1402",0,"Agriculture, forestry, fishing, and hunting"
"204",2015,"05","        1508",0,"Agriculture, forestry, fishing, and hunting"
"205",2015,"07","        1512",0,"Agriculture, forestry, fishing, and hunting"
"206",2015,"06","        1587",0,"Agriculture, forestry, fishing, and hunting"
"207",2019,"02","        1704",0,"Agriculture, forestry, fishing, and hunting"
"208",2019,"03","        1671",0,"Agriculture, forestry, fishing, and hunting"
"209",2019,"04","        1661",0,"Agriculture, forestry, fishing, and hunting"
"210",2019,"05","        1713",0,"Agriculture, forestry, fishing, and hunting"
"211",2009,"09","        1208",0,"Agriculture, forestry, fishing, and hunting"
"212",2009,"10","        1249",0,"Agriculture, forestry, fishing, and hunting"
"213",2009,"11","        1321",0,"Agriculture, forestry, fishing, and hunting"
"214",2019,"09","        1634",0,"Agriculture, forestry, fishing, and hunting"
"215",2019,"10","        1651",0,"Agriculture, forestry, fishing, and hunting"
"216",2019,"11","        1661",0,"Agriculture, forestry, fishing, and hunting"
"217",2019,"12","        1849",0,"Agriculture, forestry, fishing, and hunting"
"218",2020,"01","        1750",0,"Agriculture, forestry, fishing, and hunting"
"219",2020,"02","        1829",0,"Agriculture, forestry, fishing, and hunting"
"220",2020,"03","        1715",0,"Agriculture, forestry, fishing, and hunting"
"221",2020,"04","        1695",0,"Agriculture, forestry, fishing, and hunting"
"222",2020,"05","        1568",0,"Agriculture, forestry, fishing, and hunting"
"223",2020,"06","        1530",0,"Agriculture, forestry, fishing, and hunting"
"224",2020,"07","        1448",0,"Agriculture, forestry, fishing, and hunting"
"225",2000,"10","        1346",0,"Agriculture, forestry, fishing, and hunting"
"226",2000,"11","        1371",0,"Agriculture, forestry, fishing, and hunting"
"227",2002,"02","        1315",0,"Agriculture, forestry, fishing, and hunting"
"228",2012,"01","        1390",0,"Agriculture, forestry, fishing, and hunting"
"229",2012,"02","        1374",0,"Agriculture, forestry, fishing, and hunting"
"230",2013,"02","        1266",0,"Agriculture, forestry, fishing, and hunting"
"231",2013,"03","        1249",0,"Agriculture, forestry, fishing, and hunting"
"232",2013,"04","        1241",0,"Agriculture, forestry, fishing, and hunting"
"233",2014,"06","        1401",0,"Agriculture, forestry, fishing, and hunting"
"234",2005,"01","        1168",0,"Agriculture, forestry, fishing, and hunting"
"235",2014,"12","        1518",0,"Agriculture, forestry, fishing, and hunting"
"236",2014,"08","        1537",0,"Agriculture, forestry, fishing, and hunting"
"237",2019,"08","        1579",0,"Agriculture, forestry, fishing, and hunting"
"238",2014,"10","        1591",0,"Agriculture, forestry, fishing, and hunting"
"239",2011,"12","        1441",0,"Agriculture, forestry, fishing, and hunting"
"240",2019,"07","        1583",0,"Agriculture, forestry, fishing, and hunting"
"241",2011,"09","        1346",0,"Agriculture, forestry, fishing, and hunting"
"242",2011,"11","        1348",0,"Agriculture, forestry, fishing, and hunting"
"243",2011,"10","        1268",0,"Agriculture, forestry, fishing, and hunting"
"244",2019,"06","        1492",0,"Agriculture, forestry, fishing, and hunting"
"245",2013,"05","        1289",0,"Agriculture, forestry, fishing, and hunting"
"246",2014,"11","        1607",0,"Agriculture, forestry, fishing, and hunting"
"247",2015,"01","        1560",0,"Agriculture, forestry, fishing, and hunting"
"248",2011,"09","         846",0,"Agriculture, forestry, fishing, and hunting"
"249",2014,"03","         716",0,"Agriculture, forestry, fishing, and hunting"
"250",2004,"03","         907",0,"Agriculture, forestry, fishing, and hunting"
"251",2004,"07","        1008",0,"Agriculture, forestry, fishing, and hunting"
"252",2005,"06","         998",0,"Agriculture, forestry, fishing, and hunting"
"253",2005,"07","         992",0,"Agriculture, forestry, fishing, and hunting"
"254",2005,"08","         930",0,"Agriculture, forestry, fishing, and hunting"
"255",2005,"05","         963",0,"Agriculture, forestry, fishing, and hunting"
"256",2004,"02","         932",0,"Agriculture, forestry, fishing, and hunting"
"257",2012,"01","         800",0,"Agriculture, forestry, fishing, and hunting"
"258",2012,"02","         800",0,"Agriculture, forestry, fishing, and hunting"
"259",2005,"09","         975",0,"Agriculture, forestry, fishing, and hunting"
"260",2006,"07","         885",0,"Agriculture, forestry, fishing, and hunting"
"261",2006,"08","         929",0,"Agriculture, forestry, fishing, and hunting"
"262",2006,"09","         952",0,"Agriculture, forestry, fishing, and hunting"
"263",2012,"03","         806",0,"Agriculture, forestry, fishing, and hunting"
"264",2006,"11","         871",0,"Agriculture, forestry, fishing, and hunting"
"265",2006,"12","         886",0,"Agriculture, forestry, fishing, and hunting"
"266",2003,"08","         922",0,"Agriculture, forestry, fishing, and hunting"
"267",2006,"10","         888",0,"Agriculture, forestry, fishing, and hunting"
"268",2004,"01","         957",0,"Agriculture, forestry, fishing, and hunting"
"269",2011,"12","         885",0,"Agriculture, forestry, fishing, and hunting"
"270",2003,"11","         952",0,"Agriculture, forestry, fishing, and hunting"
"271",2007,"06","         772",0,"Agriculture, forestry, fishing, and hunting"
"272",2007,"07","         822",0,"Agriculture, forestry, fishing, and hunting"
"273",2004,"04","         940",0,"Agriculture, forestry, fishing, and hunting"
"274",2004,"05","         988",0,"Agriculture, forestry, fishing, and hunting"
"275",2011,"05","         821",0,"Agriculture, forestry, fishing, and hunting"
"276",2011,"06","         830",0,"Agriculture, forestry, fishing, and hunting"
"277",2011,"07","         812",0,"Agriculture, forestry, fishing, and hunting"
"278",2011,"10","         867",0,"Agriculture, forestry, fishing, and hunting"
"279",2007,"01","         867",0,"Agriculture, forestry, fishing, and hunting"
"280",2003,"12","         933",0,"Agriculture, forestry, fishing, and hunting"
"281",2006,"01","         884",0,"Agriculture, forestry, fishing, and hunting"
"282",2003,"10","         955",0,"Agriculture, forestry, fishing, and hunting"
"283",2008,"09","         831",0,"Agriculture, forestry, fishing, and hunting"
"284",2005,"02","         906",0,"Agriculture, forestry, fishing, and hunting"
"285",2005,"03","         941",0,"Agriculture, forestry, fishing, and hunting"
"286",2005,"04","        1016",0,"Agriculture, forestry, fishing, and hunting"
"287",2008,"12","         956",0,"Agriculture, forestry, fishing, and hunting"
"288",2009,"01","         901",0,"Agriculture, forestry, fishing, and hunting"
"289",2009,"02","         868",0,"Agriculture, forestry, fishing, and hunting"
"290",2009,"03","         863",0,"Agriculture, forestry, fishing, and hunting"
"291",2009,"04","         886",0,"Agriculture, forestry, fishing, and hunting"
"292",2005,"10","         943",0,"Agriculture, forestry, fishing, and hunting"
"293",2007,"02","         881",0,"Agriculture, forestry, fishing, and hunting"
"294",2003,"09","         885",0,"Agriculture, forestry, fishing, and hunting"
"295",2009,"08","         815",0,"Agriculture, forestry, fishing, and hunting"
"296",2009,"09","         807",0,"Agriculture, forestry, fishing, and hunting"
"297",2009,"10","         740",0,"Agriculture, forestry, fishing, and hunting"
"298",2009,"11","         758",0,"Agriculture, forestry, fishing, and hunting"
"299",2009,"12","         768",0,"Agriculture, forestry, fishing, and hunting"
"300",2010,"01","         779",0,"Agriculture, forestry, fishing, and hunting"
"301",2010,"02","         899",0,"Agriculture, forestry, fishing, and hunting"
"302",2010,"03","         851",0,"Agriculture, forestry, fishing, and hunting"
"303",2010,"04","         830",0,"Agriculture, forestry, fishing, and hunting"
"304",2010,"05","         822",0,"Agriculture, forestry, fishing, and hunting"
"305",2010,"06","         812",0,"Agriculture, forestry, fishing, and hunting"
"306",2005,"11","         937",0,"Agriculture, forestry, fishing, and hunting"
"307",2005,"12","         930",0,"Agriculture, forestry, fishing, and hunting"
"308",2007,"03","         881",0,"Agriculture, forestry, fishing, and hunting"
"309",2010,"10","         828",0,"Agriculture, forestry, fishing, and hunting"
"310",2010,"11","         766",0,"Agriculture, forestry, fishing, and hunting"
"311",2010,"12","         772",0,"Agriculture, forestry, fishing, and hunting"
"312",2011,"01","         856",0,"Agriculture, forestry, fishing, and hunting"
"313",2011,"02","         893",0,"Agriculture, forestry, fishing, and hunting"
"314",2011,"03","         841",0,"Agriculture, forestry, fishing, and hunting"
"315",2004,"06","         994",0,"Agriculture, forestry, fishing, and hunting"
"316",2014,"05","         735",0,"Agriculture, forestry, fishing, and hunting"
"317",2004,"08","        1013",0,"Agriculture, forestry, fishing, and hunting"
"318",2011,"08","         849",0,"Agriculture, forestry, fishing, and hunting"
"319",2010,"07","         828",0,"Agriculture, forestry, fishing, and hunting"
"320",2010,"08","         858",0,"Agriculture, forestry, fishing, and hunting"
"321",2008,"07","         838",0,"Agriculture, forestry, fishing, and hunting"
"322",2008,"08","         818",0,"Agriculture, forestry, fishing, and hunting"
"323",2011,"11","         843",0,"Agriculture, forestry, fishing, and hunting"
"324",2001,"07","         945",0,"Agriculture, forestry, fishing, and hunting"
"325",2001,"08","         964",0,"Agriculture, forestry, fishing, and hunting"
"326",2001,"09","        1032",0,"Agriculture, forestry, fishing, and hunting"
"327",2001,"10","        1041",0,"Agriculture, forestry, fishing, and hunting"
"328",2012,"04","         789",0,"Agriculture, forestry, fishing, and hunting"
"329",2012,"05","         813",0,"Agriculture, forestry, fishing, and hunting"
"330",2012,"06","         781",0,"Agriculture, forestry, fishing, and hunting"
"331",2012,"07","         792",0,"Agriculture, forestry, fishing, and hunting"
"332",2009,"05","         872",0,"Agriculture, forestry, fishing, and hunting"
"333",2009,"06","         891",0,"Agriculture, forestry, fishing, and hunting"
"334",2009,"07","         865",0,"Agriculture, forestry, fishing, and hunting"
"335",2012,"10","         759",0,"Agriculture, forestry, fishing, and hunting"
"336",2012,"11","         789",0,"Agriculture, forestry, fishing, and hunting"
"337",2012,"12","         739",0,"Agriculture, forestry, fishing, and hunting"
"338",2013,"01","         774",0,"Agriculture, forestry, fishing, and hunting"
"339",2013,"02","         775",0,"Agriculture, forestry, fishing, and hunting"
"340",2013,"03","         698",0,"Agriculture, forestry, fishing, and hunting"
"341",2013,"04","         769",0,"Agriculture, forestry, fishing, and hunting"
"342",2013,"05","         796",0,"Agriculture, forestry, fishing, and hunting"
"343",2013,"06","         791",0,"Agriculture, forestry, fishing, and hunting"
"344",2013,"07","         870",0,"Agriculture, forestry, fishing, and hunting"
"345",2013,"08","         825",0,"Agriculture, forestry, fishing, and hunting"
"346",2013,"09","         776",0,"Agriculture, forestry, fishing, and hunting"
"347",2013,"10","         801",0,"Agriculture, forestry, fishing, and hunting"
"348",2013,"11","         788",0,"Agriculture, forestry, fishing, and hunting"
"349",2013,"12","         805",0,"Agriculture, forestry, fishing, and hunting"
"350",2014,"01","         760",0,"Agriculture, forestry, fishing, and hunting"
"351",2014,"02","         751",0,"Agriculture, forestry, fishing, and hunting"
"352",2017,"05","         842",0,"Agriculture, forestry, fishing, and hunting"
"353",2017,"06","         809",0,"Agriculture, forestry, fishing, and hunting"
"354",2007,"08","         818",0,"Agriculture, forestry, fishing, and hunting"
"355",2011,"04","         822",0,"Agriculture, forestry, fishing, and hunting"
"356",2000,"11","         934",0,"Agriculture, forestry, fishing, and hunting"
"357",2000,"12","         952",0,"Agriculture, forestry, fishing, and hunting"
"358",2001,"01","         964",0,"Agriculture, forestry, fishing, and hunting"
"359",2001,"03","        1011",0,"Agriculture, forestry, fishing, and hunting"
"360",2008,"02","         864",0,"Agriculture, forestry, fishing, and hunting"
"361",2001,"04","        1016",0,"Agriculture, forestry, fishing, and hunting"
"362",2001,"05","         974",0,"Agriculture, forestry, fishing, and hunting"
"363",2004,"12","         978",0,"Agriculture, forestry, fishing, and hunting"
"364",2005,"01","         919",0,"Agriculture, forestry, fishing, and hunting"
"365",2015,"03","         855",0,"Agriculture, forestry, fishing, and hunting"
"366",2015,"04","         789",0,"Agriculture, forestry, fishing, and hunting"
"367",2015,"05","         831",0,"Agriculture, forestry, fishing, and hunting"
"368",2015,"06","         898",0,"Agriculture, forestry, fishing, and hunting"
"369",2015,"07","         884",0,"Agriculture, forestry, fishing, and hunting"
"370",2015,"08","         888",0,"Agriculture, forestry, fishing, and hunting"
"371",2015,"09","         816",0,"Agriculture, forestry, fishing, and hunting"
"372",2015,"10","         826",0,"Agriculture, forestry, fishing, and hunting"
"373",2015,"11","         837",0,"Agriculture, forestry, fishing, and hunting"
"374",2015,"12","         812",0,"Agriculture, forestry, fishing, and hunting"
"375",2016,"01","         844",0,"Agriculture, forestry, fishing, and hunting"
"376",2016,"02","         873",0,"Agriculture, forestry, fishing, and hunting"
"377",2006,"02","         906",0,"Agriculture, forestry, fishing, and hunting"
"378",2006,"03","         905",0,"Agriculture, forestry, fishing, and hunting"
"379",2006,"04","         920",0,"Agriculture, forestry, fishing, and hunting"
"380",2006,"05","         884",0,"Agriculture, forestry, fishing, and hunting"
"381",2006,"06","         903",0,"Agriculture, forestry, fishing, and hunting"
"382",2016,"07","         788",0,"Agriculture, forestry, fishing, and hunting"
"383",2016,"08","         880",0,"Agriculture, forestry, fishing, and hunting"
"384",2016,"09","         878",0,"Agriculture, forestry, fishing, and hunting"
"385",2016,"10","         829",0,"Agriculture, forestry, fishing, and hunting"
"386",2016,"11","         832",0,"Agriculture, forestry, fishing, and hunting"
"387",2016,"12","         850",0,"Agriculture, forestry, fishing, and hunting"
"388",2017,"01","         799",0,"Agriculture, forestry, fishing, and hunting"
"389",2017,"02","         835",0,"Agriculture, forestry, fishing, and hunting"
"390",2007,"04","         848",0,"Agriculture, forestry, fishing, and hunting"
"391",2007,"05","         838",0,"Agriculture, forestry, fishing, and hunting"
