year,period,industry_text,value_earnings,value_jo,value_hi,value_ts,value_qu,value_dl,turnover,growth
2001,2,"Trade, transportation, and utilities",26207,952,1083,1094,763,267,high_turnover,high_growth
2001,3,Construction,6862,189,575,527,196,310,high_turnover,medium_growth
2001,3,Education and health services,15629,808,564,491,329,125,medium_turnover,high_growth
2001,3,Financial activities,7885,292,238,203,147,43,low_turnover,low_growth
2001,3,Government,20945,466,346,307,164,100,low_turnover,medium_growth
2001,3,Information,3718,128,110,104,67,23,low_turnover,low_growth
2001,3,Leisure and hospitality,12000,695,935,942,558,353,high_turnover,medium_growth
2001,3,Manufacturing,16938,398,466,560,241,274,high_turnover,high_growth
2001,3,Mining and logging,609,17,25,21,10,9,low_turnover,low_growth
2001,3,Other services,5201,142,230,238,97,122,low_turnover,low_growth
2001,3,Professional and business services,16802,901,946,1014,510,447,high_turnover,high_growth
2001,3,Retail trade,15348.7,431,802,819,527,243,high_turnover,high_growth
2001,3,Total private,111802,4233,5182,5222,2877,2026,high_turnover,high_growth
2001,3,"Trade, transportation, and utilities",26158,662,1093,1123,723,321,high_turnover,high_growth
2001,4,Construction,6844,285,458,435,201,203,high_turnover,medium_growth
2001,4,Education and health services,15671,721,486,455,316,104,medium_turnover,high_growth
2001,4,Financial activities,7889,234,222,254,135,96,low_turnover,low_growth
2001,4,Government,20992,510,334,276,131,92,low_turnover,medium_growth
2001,4,Information,3686,177,124,169,98,55,low_turnover,low_growth
2001,4,Leisure and hospitality,12040,582,998,908,605,277,high_turnover,medium_growth
2001,4,Manufacturing,16802,367,443,568,228,296,high_turnover,medium_growth
2001,4,Mining and logging,608,18,18,20,11,8,low_turnover,low_growth
2001,4,Other services,5219,162,211,195,110,71,low_turnover,low_growth
2001,4,Professional and business services,16675,834,764,911,575,279,high_turnover,high_growth
2001,4,Retail trade,15264.1,502,827,890,576,260,high_turnover,high_growth
2001,4,Total private,111471,4242,4871,5152,3041,1788,high_turnover,high_growth
2001,4,"Trade, transportation, and utilities",26037,862,1148,1237,762,398,high_turnover,high_growth
2001,5,Construction,6849,283,480,478,180,281,medium_turnover,medium_growth
2001,5,Education and health services,15747,826,512,442,307,112,medium_turnover,high_growth
2001,5,Financial activities,7900,265,213,190,104,58,low_turnover,low_growth
2001,5,Government,21029,499,367,324,179,95,low_turnover,medium_growth
2001,5,Information,3663,94,115,132,81,47,low_turnover,low_growth
2001,5,Leisure and hospitality,12068,527,921,869,574,251,high_turnover,medium_growth
2001,5,Manufacturing,16661,339,398,548,206,306,high_turnover,medium_growth
2001,5,Mining and logging,609,12,26,23,11,10,low_turnover,low_growth
2001,5,Other services,5238,192,143,129,96,31,low_turnover,low_growth
2001,5,Professional and business services,16632,750,949,1021,523,422,high_turnover,high_growth
2001,5,Retail trade,15259.2,487,933,854,532,276,high_turnover,high_growth
2001,5,Total private,111381,4005,5043,5059,2812,1946,high_turnover,high_growth
2001,5,"Trade, transportation, and utilities",26014,718,1288,1228,730,427,high_turnover,high_growth
2001,6,Construction,6840,178,451,459,172,269,medium_turnover,medium_growth
2001,6,Education and health services,15779,758,487,470,307,112,medium_turnover,high_growth
2001,6,Financial activities,7905,258,224,228,137,51,low_turnover,low_growth
2001,6,Government,21137,568,361,262,133,88,low_turnover,medium_growth
2001,6,Information,3642,90,113,133,73,52,low_turnover,low_growth
2001,6,Leisure and hospitality,12076,447,873,831,551,250,high_turnover,medium_growth
2001,6,Manufacturing,16515,342,398,551,205,302,high_turnover,medium_growth
2001,6,Mining and logging,610,10,32,27,13,12,low_turnover,low_growth
2001,6,Other services,5250,248,163,137,75,60,low_turnover,low_growth
2001,6,Professional and business services,16566,768,921,976,500,406,high_turnover,high_growth
2001,6,Retail trade,15262.9,462,812,841,527,291,high_turnover,high_growth
2001,6,Total private,111162,3810,4748,4978,2754,1916,high_turnover,high_growth
2001,6,"Trade, transportation, and utilities",25979,712,1086,1166,720,403,high_turnover,high_growth
2001,7,Construction,6845,199,444,431,182,211,medium_turnover,medium_growth
2001,7,Education and health services,15840,816,530,457,291,138,medium_turnover,high_growth
2001,7,Financial activities,7892,266,223,259,183,51,low_turnover,low_growth
2001,7,Government,21185,518,350,293,161,81,low_turnover,medium_growth
2001,7,Information,3619,132,121,152,85,46,low_turnover,low_growth
2001,7,Leisure and hospitality,12110,588,928,923,563,316,high_turnover,medium_growth
2001,7,Manufacturing,16382,343,371,505,172,294,medium_turnover,medium_growth
2001,7,Mining and logging,610,16,27,30,11,11,low_turnover,low_growth
2001,7,Other services,5268,242,186,177,106,53,low_turnover,low_growth
2001,7,Professional and business services,16512,756,946,999,515,408,high_turnover,high_growth
2001,7,Retail trade,15207.4,409,808,858,534,285,high_turnover,high_growth
2001,7,Total private,110992,4060,4895,5147,2808,1980,high_turnover,high_growth
2001,7,"Trade, transportation, and utilities",25914,700,1118,1214,699,452,high_turnover,high_growth
2001,8,Construction,6827,128,410,452,163,251,medium_turnover,medium_growth
2001,8,Education and health services,15903,845,527,464,287,135,medium_turnover,high_growth
2001,8,Financial activities,7916,255,235,222,140,47,low_turnover,low_growth
2001,8,Government,21218,492,363,332,168,115,low_turnover,medium_growth
2001,8,Information,3600,104,114,134,78,48,low_turnover,low_growth
2001,8,Leisure and hospitality,12093,544,870,886,596,257,high_turnover,medium_growth
2001,8,Manufacturing,16232,272,364,520,186,276,medium_turnover,medium_growth
2001,8,Mining and logging,608,14,23,23,14,9,low_turnover,low_growth
2001,8,Other services,5279,201,200,188,132,54,low_turnover,low_growth
2001,8,Professional and business services,16449,594,990,1031,493,443,high_turnover,high_growth
2001,8,Retail trade,15212.2,347,823,807,512,259,high_turnover,medium_growth
2001,8,Total private,110810,3550,4860,5026,2766,1888,high_turnover,high_growth
2001,8,"Trade, transportation, and utilities",25903,593,1127,1106,677,369,high_turnover,high_growth
2001,9,Construction,6813,175,427,445,154,267,medium_turnover,medium_growth
2001,9,Education and health services,15959,760,530,459,301,119,medium_turnover,high_growth
2001,9,Financial activities,7915,260,192,194,112,69,low_turnover,low_growth
2001,9,Government,21242,437,307,272,134,81,low_turnover,medium_growth
2001,9,Information,3583,65,104,124,60,57,low_turnover,low_growth
2001,9,Leisure and hospitality,12061,540,876,923,563,321,high_turnover,medium_growth
2001,9,Manufacturing,16117,335,343,463,174,255,medium_turnover,medium_growth
2001,9,Mining and logging,607,10,23,24,12,10,low_turnover,low_growth
2001,9,Other services,5293,233,184,181,118,49,low_turnover,low_growth
2001,9,Professional and business services,16362,644,850,933,442,399,high_turnover,high_growth
2001,9,Retail trade,15203.4,384,839,846,464,343,high_turnover,medium_growth
2001,9,Total private,110529,3608,4647,4915,2570,2021,high_turnover,high_growth
2001,9,"Trade, transportation, and utilities",25819,586,1117,1169,635,474,high_turnover,high_growth
2001,10,Construction,6804,137,458,468,165,275,medium_turnover,medium_growth
2001,10,Education and health services,15999,757,529,506,276,197,high_turnover,high_growth
2001,10,Financial activities,7926,209,220,213,113,80,low_turnover,low_growth
2001,10,Government,21275,442,325,287,141,100,low_turnover,medium_growth
2001,10,Information,3558,86,105,135,76,55,low_turnover,low_growth
2001,10,Leisure and hospitality,12015,375,830,902,536,322,high_turnover,medium_growth
2001,10,Manufacturing,15972,279,387,554,193,322,high_turnover,medium_growth
2001,10,Mining and logging,602,13,23,28,15,11,low_turnover,low_growth
2001,10,Other services,5298,192,211,196,134,58,low_turnover,low_growth
2001,10,Professional and business services,16261,576,849,948,459,441,high_turnover,high_growth
2001,10,Retail trade,15174.3,417,853,888,540,304,high_turnover,high_growth
2001,10,Total private,110179,3287,4753,5184,2657,2227,high_turnover,high_growth
2001,10,"Trade, transportation, and utilities",25744,664,1142,1234,689,465,high_turnover,high_growth
2001,11,Construction,6784,131,453,485,175,293,medium_turnover,medium_growth
2001,11,Education and health services,16044,728,513,459,282,146,medium_turnover,high_growth
2001,11,Financial activities,7940,204,233,204,99,76,low_turnover,low_growth
2001,11,Government,21326,468,319,269,151,71,low_turnover,medium_growth
2001,11,Information,3536,69,114,134,67,62,low_turnover,low_growth
2001,11,Leisure and hospitality,11985,452,819,868,466,385,high_turnover,medium_growth
2001,11,Manufacturing,15825,186,371,490,179,284,medium_turnover,medium_growth
2001,11,Mining and logging,600,6,23,28,10,15,low_turnover,low_growth
2001,11,Other services,5314,166,195,178,118,53,low_turnover,low_growth
2001,11,Professional and business services,16133,604,806,872,383,409,high_turnover,high_growth
2001,11,Retail trade,15150.7,419,767,782,470,278,high_turnover,high_growth
2001,11,Total private,109816,3181,4595,4855,2393,2189,high_turnover,high_growth
2001,11,"Trade, transportation, and utilities",25655,637,1068,1137,616,467,high_turnover,high_growth
2001,12,Construction,6785,92,455,440,143,285,medium_turnover,medium_growth
2001,12,Education and health services,16097,737,480,416,283,104,medium_turnover,high_growth
2001,12,Financial activities,7934,202,208,181,85,70,low_turnover,low_growth
2001,12,Government,21355,417,334,295,160,84,low_turnover,medium_growth
2001,12,Information,3521,83,106,127,69,54,low_turnover,low_growth
2001,12,Leisure and hospitality,11967,434,810,798,483,288,high_turnover,medium_growth
2001,12,Manufacturing,15711,187,386,465,157,273,medium_turnover,medium_growth
2001,12,Mining and logging,598,15,19,17,5,10,low_turnover,low_growth
2001,12,Other services,5333,174,203,182,127,38,low_turnover,low_growth
2001,12,Professional and business services,16107,585,804,825,401,333,high_turnover,high_growth
2001,12,Retail trade,15101.2,427,750,786,473,265,high_turnover,high_growth
2001,12,Total private,109627,3105,4495,4551,2393,1848,high_turnover,high_growth
2001,12,"Trade, transportation, and utilities",25574,597,1024,1101,638,393,high_turnover,high_growth
2002,1,Construction,6775,119,426,435,171,242,medium_turnover,medium_growth
2002,1,Education and health services,16150,760,523,479,271,161,medium_turnover,high_growth
2002,1,Financial activities,7939,311,223,239,149,66,low_turnover,low_growth
2002,1,Government,21377,399,323,293,152,89,low_turnover,medium_growth
2002,1,Information,3494,142,104,125,63,52,low_turnover,low_growth
2002,1,Leisure and hospitality,12006,356,780,779,542,208,high_turnover,medium_growth
2002,1,Manufacturing,15587,301,364,482,171,263,medium_turnover,medium_growth
2002,1,Mining and logging,599,17,21,22,11,8,low_turnover,low_growth
2002,1,Other services,5343,165,195,185,107,59,low_turnover,low_growth
2002,1,Professional and business services,16072,592,869,980,535,346,high_turnover,high_growth
2002,1,Retail trade,15065.2,399,728,820,501,285,high_turnover,high_growth
2002,1,Total private,109475,3383,4532,4891,2704,1819,high_turnover,high_growth
2002,1,"Trade, transportation, and utilities",25510,621,1026,1165,683,413,high_turnover,high_growth
2002,2,Construction,6766,94,427,447,162,270,medium_turnover,medium_growth
2002,2,Education and health services,16199,767,487,442,264,147,medium_turnover,high_growth
2002,2,Financial activities,7931,160,201,186,98,78,low_turnover,low_growth
2002,2,Government,21390,477,316,314,163,93,low_turnover,medium_growth
2002,2,Information,3471,98,90,102,60,31,low_turnover,low_growth
2002,2,Leisure and hospitality,11962,414,826,818,523,267,high_turnover,medium_growth
2002,2,Manufacturing,15515,246,408,487,198,248,high_turnover,medium_growth
2002,2,Mining and logging,595,16,19,22,13,8,low_turnover,low_growth
2002,2,Other services,5354,148,187,176,114,47,low_turnover,low_growth
2002,2,Professional and business services,16042,418,811,831,403,347,high_turnover,high_growth
2002,2,Retail trade,15074.5,354,723,738,419,277,high_turnover,medium_growth
2002,2,Total private,109346,2900,4485,4562,2395,1871,high_turnover,high_growth
2002,2,"Trade, transportation, and utilities",25511,539,1029,1051,560,427,high_turnover,high_growth
2002,3,Construction,6755,141,428,428,147,255,medium_turnover,medium_growth
2002,3,Education and health services,16240,711,468,410,227,140,medium_turnover,high_growth
2002,3,Financial activities,7929,221,207,188,104,60,low_turnover,low_growth
2002,3,Government,21431,469,331,284,137,92,low_turnover,medium_growth
2002,3,Information,3454,91,98,111,63,42,low_turnover,low_growth
2002,3,Leisure and hospitality,11965,410,775,784,534,223,high_turnover,medium_growth
2002,3,Manufacturing,15443,215,369,441,185,221,medium_turnover,medium_growth
2002,3,Mining and logging,588,4,17,24,7,12,low_turnover,low_growth
2002,3,Other services,5362,161,153,152,95,47,low_turnover,low_growth
2002,3,Professional and business services,16057,548,850,849,413,352,high_turnover,high_growth
2002,3,Retail trade,15074.2,367,712,736,428,285,high_turnover,medium_growth
2002,3,Total private,109286,3104,4376,4425,2342,1779,high_turnover,high_growth
2002,3,"Trade, transportation, and utilities",25493,602,1010,1039,567,427,high_turnover,high_growth
2002,4,Construction,6710,151,431,447,166,262,medium_turnover,medium_growth
2002,4,Education and health services,16281,715,500,470,277,143,medium_turnover,high_growth
2002,4,Financial activities,7936,245,221,244,149,69,low_turnover,low_growth
2002,4,Government,21443,462,340,316,157,102,low_turnover,medium_growth
2002,4,Information,3434,101,92,126,53,62,low_turnover,low_growth
2002,4,Leisure and hospitality,11928,376,828,842,525,281,high_turnover,medium_growth
2002,4,Manufacturing,15392,261,422,464,198,227,high_turnover,medium_growth
2002,4,Mining and logging,587,9,16,18,4,12,low_turnover,low_growth
2002,4,Other services,5366,143,178,177,102,64,low_turnover,low_growth
2002,4,Professional and business services,16058,541,850,850,414,356,high_turnover,high_growth
2002,4,Retail trade,15079.9,331,738,719,423,247,high_turnover,medium_growth
2002,4,Total private,109180,3114,4588,4674,2476,1854,high_turnover,high_growth
2002,4,"Trade, transportation, and utilities",25488,573,1048,1035,587,376,high_turnover,high_growth
2002,5,Construction,6684,167,408,439,158,272,medium_turnover,medium_growth
2002,5,Education and health services,16328,668,482,443,283,133,medium_turnover,high_growth
2002,5,Financial activities,7934,208,218,210,104,91,low_turnover,low_growth
2002,5,Government,21514,463,347,284,134,97,low_turnover,medium_growth
2002,5,Information,3416,96,83,98,50,44,low_turnover,low_growth
2002,5,Leisure and hospitality,11936,399,800,794,513,259,high_turnover,medium_growth
2002,5,Manufacturing,15337,251,411,470,197,236,high_turnover,medium_growth
2002,5,Mining and logging,583,5,17,22,9,9,low_turnover,low_growth
2002,5,Other services,5369,158,192,198,130,64,low_turnover,low_growth
2002,5,Professional and business services,16067,567,850,855,455,321,high_turnover,high_growth
2002,5,Retail trade,15054.2,321,763,727,364,328,high_turnover,medium_growth
2002,5,Total private,109120,3045,4509,4542,2402,1880,high_turnover,high_growth
2002,5,"Trade, transportation, and utilities",25466,525,1049,1013,504,451,high_turnover,high_growth
2002,6,Construction,6701,143,438,429,126,297,medium_turnover,medium_growth
2002,6,Education and health services,16422,753,515,426,255,143,medium_turnover,high_growth
2002,6,Financial activities,7938,235,214,220,110,100,low_turnover,low_growth
2002,6,Government,21549,425,315,297,150,89,low_turnover,medium_growth
2002,6,Information,3401,56,92,108,54,47,low_turnover,low_growth
2002,6,Leisure and hospitality,11905,342,782,798,488,274,high_turnover,medium_growth
2002,6,Manufacturing,15298,263,400,443,191,218,high_turnover,medium_growth
2002,6,Mining and logging,579,8,18,20,10,9,low_turnover,low_growth
2002,6,Other services,5365,110,233,222,124,86,low_turnover,low_growth
2002,6,Professional and business services,16058,514,774,788,377,344,high_turnover,high_growth
2002,6,Retail trade,15045,366,780,814,496,268,high_turnover,medium_growth
2002,6,Total private,109135,2990,4554,4575,2379,1914,high_turnover,high_growth
2002,6,"Trade, transportation, and utilities",25468,568,1088,1120,645,397,high_turnover,high_growth
2002,7,Construction,6688,115,467,489,174,305,medium_turnover,medium_growth
2002,7,Education and health services,16466,700,504,454,279,132,medium_turnover,high_growth
2002,7,Financial activities,7942,185,213,230,141,69,low_turnover,low_growth
2002,7,Government,21544,445,331,338,144,133,low_turnover,medium_growth
2002,7,Information,3381,109,84,107,57,45,low_turnover,low_growth
2002,7,Leisure and hospitality,11912,376,798,800,484,284,high_turnover,medium_growth
2002,7,Manufacturing,15256,287,417,451,194,214,high_turnover,medium_growth
2002,7,Mining and logging,577,9,21,28,7,16,low_turnover,low_growth
2002,7,Other services,5360,112,181,192,112,63,low_turnover,low_growth
2002,7,Professional and business services,15984,543,828,906,420,404,high_turnover,high_growth
2002,7,Retail trade,15046.7,391,789,783,410,317,high_turnover,high_growth
2002,7,Total private,109046,3016,4615,4764,2436,1988,high_turnover,high_growth
2002,7,"Trade, transportation, and utilities",25480,580,1100,1107,567,456,high_turnover,high_growth
2002,8,Construction,6701,117,421,427,158,238,medium_turnover,medium_growth
2002,8,Education and health services,16489,709,462,446,282,134,medium_turnover,high_growth
2002,8,Financial activities,7949,203,212,214,119,78,low_turnover,low_growth
2002,8,Government,21589,448,349,314,147,102,low_turnover,medium_growth
2002,8,Information,3371,73,86,97,54,41,low_turnover,low_growth
2002,8,Leisure and hospitality,11936,395,821,787,476,284,high_turnover,medium_growth
2002,8,Manufacturing,15171,236,382,459,204,218,high_turnover,medium_growth
2002,8,Mining and logging,577,9,24,23,10,10,low_turnover,low_growth
2002,8,Other services,5369,140,209,192,114,71,low_turnover,low_growth
2002,8,Professional and business services,16012,617,847,784,436,292,high_turnover,high_growth
2002,8,Retail trade,14997,376,735,781,424,300,high_turnover,medium_growth
2002,8,Total private,108998,3083,4522,4531,2419,1813,high_turnover,high_growth
2002,8,"Trade, transportation, and utilities",25423,584,1058,1102,566,447,high_turnover,high_growth
2002,9,Construction,6702,148,468,470,168,283,medium_turnover,medium_growth
2002,9,Education and health services,16509,702,466,442,242,153,medium_turnover,high_growth
2002,9,Financial activities,7963,170,215,203,111,68,low_turnover,low_growth
2002,9,Government,21546,398,323,336,156,119,low_turnover,medium_growth
2002,9,Information,3345,66,83,109,66,37,low_turnover,low_growth
2002,9,Leisure and hospitality,11991,351,807,756,491,235,high_turnover,medium_growth
2002,9,Manufacturing,15119,237,404,457,194,230,high_turnover,medium_growth
2002,9,Mining and logging,576,6,19,19,9,7,low_turnover,low_growth
2002,9,Other services,5384,142,213,207,119,71,low_turnover,low_growth
2002,9,Professional and business services,15988,572,811,830,406,363,high_turnover,high_growth
2002,9,Retail trade,14982.5,334,767,785,429,311,high_turnover,medium_growth
2002,9,Total private,108955,2892,4556,4583,2366,1897,high_turnover,high_growth
2002,9,"Trade, transportation, and utilities",25378,497,1069,1089,560,451,high_turnover,high_growth
2002,10,Construction,6689,123,449,463,145,300,medium_turnover,medium_growth
2002,10,Education and health services,16541,657,466,452,281,135,medium_turnover,high_growth
2002,10,Financial activities,7992,272,198,177,109,50,low_turnover,low_growth
2002,10,Government,21559,376,337,322,146,104,low_turnover,medium_growth
2002,10,Information,3350,86,93,90,44,40,low_turnover,low_growth
2002,10,Leisure and hospitality,12070,382,786,725,457,240,high_turnover,medium_growth
2002,10,Manufacturing,15060,221,370,451,171,231,medium_turnover,medium_growth
2002,10,Mining and logging,576,10,18,18,7,7,low_turnover,low_growth
2002,10,Other services,5391,152,199,181,119,52,low_turnover,low_growth
2002,10,Professional and business services,16007,645,856,832,407,355,high_turnover,high_growth
2002,10,Retail trade,14988.7,360,733,730,376,319,high_turnover,medium_growth
2002,10,Total private,109069,3126,4460,4414,2280,1835,high_turnover,high_growth
2002,10,"Trade, transportation, and utilities",25393,579,1026,1026,540,425,high_turnover,high_growth
2002,11,Construction,6713,86,418,403,127,256,medium_turnover,medium_growth
2002,11,Education and health services,16587,757,462,404,256,123,medium_turnover,high_growth
2002,11,Financial activities,8003,223,212,185,95,73,low_turnover,low_growth
2002,11,Government,21581,411,348,328,155,107,low_turnover,medium_growth
2002,11,Information,3328,70,89,110,56,45,low_turnover,low_growth
2002,11,Leisure and hospitality,12109,406,803,772,433,313,high_turnover,medium_growth
2002,11,Manufacturing,14992,186,378,433,174,215,medium_turnover,medium_growth
2002,11,Mining and logging,577,5,19,19,8,7,low_turnover,low_growth
2002,11,Other services,5405,162,191,176,110,49,low_turnover,low_growth
2002,11,Professional and business services,15964,590,830,821,414,338,high_turnover,high_growth
2002,11,Retail trade,14970.7,308,752,768,422,294,high_turnover,medium_growth
2002,11,Total private,109034,2995,4443,4395,2233,1842,high_turnover,high_growth
2002,11,"Trade, transportation, and utilities",25356,510,1042,1072,560,423,high_turnover,high_growth
2002,12,Construction,6700,82,444,442,139,263,medium_turnover,medium_growth
2002,12,Education and health services,16606,626,496,471,289,151,medium_turnover,high_growth
2002,12,Financial activities,8017,218,245,208,110,75,low_turnover,low_growth
2002,12,Government,21588,348,318,307,146,85,low_turnover,medium_growth
2002,12,Information,3288,51,80,112,65,38,low_turnover,low_growth
2002,12,Leisure and hospitality,12112,377,828,797,471,292,high_turnover,medium_growth
2002,12,Manufacturing,14912,187,369,428,158,239,medium_turnover,medium_growth
2002,12,Mining and logging,577,3,20,18,9,7,low_turnover,low_growth
2002,12,Other services,5399,132,184,199,116,75,low_turnover,low_growth
2002,12,Professional and business services,15900,559,866,919,447,393,high_turnover,high_growth
2002,12,Retail trade,14986.1,288,760,735,418,265,high_turnover,medium_growth
2002,12,Total private,108884,2691,4575,4612,2344,1929,high_turnover,high_growth
2002,12,"Trade, transportation, and utilities",25373,455,1044,1019,540,397,high_turnover,high_growth
2003,1,Construction,6704,100,477,465,145,291,medium_turnover,medium_growth
2003,1,Education and health services,16656,643,523,480,279,145,medium_turnover,high_growth
2003,1,Financial activities,8025,212,224,237,116,88,low_turnover,low_growth
2003,1,Government,21626,422,349,306,142,107,low_turnover,medium_growth
2003,1,Information,3266,119,92,109,62,42,low_turnover,low_growth
2003,1,Leisure and hospitality,12173,392,857,823,473,291,high_turnover,medium_growth
2003,1,Manufacturing,14866,233,414,446,172,227,medium_turnover,medium_growth
2003,1,Mining and logging,576,5,19,20,8,9,low_turnover,low_growth
2003,1,Other services,5399,133,220,219,128,79,low_turnover,low_growth
2003,1,Professional and business services,15967,684,859,831,395,362,high_turnover,high_growth
2003,1,Retail trade,14964.3,366,738,761,389,313,high_turnover,medium_growth
2003,1,Total private,108954,3077,4710,4729,2294,2006,high_turnover,high_growth
2003,1,"Trade, transportation, and utilities",25322,558,1027,1099,518,472,high_turnover,high_growth
2003,2,Construction,6667,80,363,411,147,251,medium_turnover,low_growth
2003,2,Education and health services,16696,594,468,431,266,143,medium_turnover,high_growth
2003,2,Financial activities,8037,188,224,189,113,53,low_turnover,low_growth
2003,2,Government,21624,372,301,316,137,122,low_turnover,medium_growth
2003,2,Information,3235,69,83,103,52,47,low_turnover,low_growth
2003,2,Leisure and hospitality,12130,362,801,809,501,290,high_turnover,medium_growth
2003,2,Manufacturing,14781,181,366,456,182,226,medium_turnover,medium_growth
2003,2,Mining and logging,575,6,22,25,9,10,low_turnover,low_growth
2003,2,Other services,5405,172,208,202,114,79,low_turnover,low_growth
2003,2,Professional and business services,15994,623,861,841,388,394,high_turnover,high_growth
2003,2,Retail trade,14930.6,337,755,798,450,293,high_turnover,medium_growth
2003,2,Total private,108820,2806,4413,4510,2337,1884,high_turnover,high_growth
2003,2,"Trade, transportation, and utilities",25300,531,1017,1044,565,391,high_turnover,high_growth
2003,3,Construction,6654,91,414,423,138,274,medium_turnover,medium_growth
2003,3,Education and health services,16720,576,470,427,257,133,medium_turnover,high_growth
2003,3,Financial activities,8052,199,220,185,103,76,low_turnover,low_growth
2003,3,Government,21610,380,294,311,134,111,low_turnover,medium_growth
2003,3,Information,3221,78,86,99,47,45,low_turnover,low_growth
2003,3,Leisure and hospitality,12109,352,779,822,470,300,high_turnover,medium_growth
2003,3,Manufacturing,14721,188,341,403,151,215,medium_turnover,medium_growth
2003,3,Mining and logging,570,4,18,23,10,10,low_turnover,low_growth
2003,3,Other services,5398,129,189,201,122,75,low_turnover,low_growth
2003,3,Professional and business services,15924,575,691,765,374,298,high_turnover,high_growth
2003,3,Retail trade,14904.1,324,686,747,413,297,high_turnover,medium_growth
2003,3,Total private,108622,2684,4176,4392,2248,1828,high_turnover,high_growth
2003,3,"Trade, transportation, and utilities",25253,492,970,1043,575,402,high_turnover,high_growth
2003,4,Construction,6689,172,461,412,98,297,medium_turnover,medium_growth
2003,4,Education and health services,16784,623,470,416,241,145,medium_turnover,high_growth
2003,4,Financial activities,8077,224,232,229,161,50,low_turnover,low_growth
2003,4,Government,21595,348,309,313,137,113,low_turnover,medium_growth
2003,4,Information,3207,58,65,92,49,36,low_turnover,low_growth
2003,4,Leisure and hospitality,12085,371,787,799,466,306,high_turnover,medium_growth
2003,4,Manufacturing,14609,206,320,428,159,218,medium_turnover,medium_growth
2003,4,Mining and logging,566,5,13,18,9,5,low_turnover,low_growth
2003,4,Other services,5397,159,188,193,106,66,low_turnover,low_growth
2003,4,Professional and business services,15927,523,782,797,361,360,high_turnover,high_growth
2003,4,Retail trade,14917.9,355,714,691,380,290,high_turnover,medium_growth
2003,4,Total private,108582,2860,4291,4355,2152,1886,high_turnover,high_growth
2003,4,"Trade, transportation, and utilities",25241,520,971,971,502,405,high_turnover,high_growth
2003,5,Construction,6706,125,448,434,155,267,medium_turnover,medium_growth
2003,5,Education and health services,16825,664,487,453,257,166,medium_turnover,high_growth
2003,5,Financial activities,8093,210,220,196,102,68,low_turnover,low_growth
2003,5,Government,21567,340,281,328,144,121,low_turnover,medium_growth
2003,5,Information,3193,51,96,107,58,47,low_turnover,low_growth
