"","year","period","industry_text","value_earnings","value_jo","value_hi","value_ts","value_qu","value_dl","turnover","growth"
"108",2001,"08","Government",21218,492,363,332,168,115,"low_turnover","medium_growth"
"109",2001,"08","Information",3600,104,114,134,78,48,"low_turnover","low_growth"
"110",2001,"08","Leisure and hospitality",12093,544,870,886,596,257,"high_turnover","medium_growth"
"111",2001,"08","Manufacturing",16232,272,364,520,186,276,"medium_turnover","medium_growth"
"112",2001,"08","Mining and logging",608,14,23,23,14,9,"low_turnover","low_growth"
"113",2001,"08","Other services",5279,201,200,188,132,54,"low_turnover","low_growth"
"114",2001,"08","Professional and business services",16449,594,990,1031,493,443,"high_turnover","high_growth"
"115",2001,"08","Retail trade",15212.2,347,823,807,512,259,"high_turnover","medium_growth"
"116",2001,"08","Total private",110810,3550,4860,5026,2766,1888,"high_turnover","high_growth"
"117",2001,"08","Trade, transportation, and utilities",25903,593,1127,1106,677,369,"high_turnover","high_growth"
"118",2001,"09","Construction",6813,175,427,445,154,267,"medium_turnover","medium_growth"
"119",2001,"09","Education and health services",15959,760,530,459,301,119,"medium_turnover","high_growth"
"120",2001,"09","Financial activities",7915,260,192,194,112,69,"low_turnover","low_growth"
"121",2001,"09","Government",21242,437,307,272,134,81,"low_turnover","medium_growth"
"122",2001,"09","Information",3583,65,104,124,60,57,"low_turnover","low_growth"
"123",2001,"09","Leisure and hospitality",12061,540,876,923,563,321,"high_turnover","medium_growth"
"124",2001,"09","Manufacturing",16117,335,343,463,174,255,"medium_turnover","medium_growth"
"125",2001,"09","Mining and logging",607,10,23,24,12,10,"low_turnover","low_growth"
"126",2001,"09","Other services",5293,233,184,181,118,49,"low_turnover","low_growth"
"127",2001,"09","Professional and business services",16362,644,850,933,442,399,"high_turnover","high_growth"
"128",2001,"09","Retail trade",15203.4,384,839,846,464,343,"high_turnover","medium_growth"
"129",2001,"09","Total private",110529,3608,4647,4915,2570,2021,"high_turnover","high_growth"
"130",2001,"09","Trade, transportation, and utilities",25819,586,1117,1169,635,474,"high_turnover","high_growth"
"131",2001,"10","Construction",6804,137,458,468,165,275,"medium_turnover","medium_growth"
"132",2001,"10","Education and health services",15999,757,529,506,276,197,"high_turnover","high_growth"
"133",2001,"10","Financial activities",7926,209,220,213,113,80,"low_turnover","low_growth"
"134",2001,"10","Government",21275,442,325,287,141,100,"low_turnover","medium_growth"
"135",2001,"10","Information",3558,86,105,135,76,55,"low_turnover","low_growth"
"136",2001,"10","Leisure and hospitality",12015,375,830,902,536,322,"high_turnover","medium_growth"
"137",2001,"10","Manufacturing",15972,279,387,554,193,322,"high_turnover","medium_growth"
"138",2001,"10","Mining and logging",602,13,23,28,15,11,"low_turnover","low_growth"
"139",2001,"10","Other services",5298,192,211,196,134,58,"low_turnover","low_growth"
"140",2001,"10","Professional and business services",16261,576,849,948,459,441,"high_turnover","high_growth"
"141",2001,"10","Retail trade",15174.3,417,853,888,540,304,"high_turnover","high_growth"
"142",2001,"10","Total private",110179,3287,4753,5184,2657,2227,"high_turnover","high_growth"
"143",2001,"10","Trade, transportation, and utilities",25744,664,1142,1234,689,465,"high_turnover","high_growth"
"144",2001,"11","Construction",6784,131,453,485,175,293,"medium_turnover","medium_growth"
"145",2001,"11","Education and health services",16044,728,513,459,282,146,"medium_turnover","high_growth"
"146",2001,"11","Financial activities",7940,204,233,204,99,76,"low_turnover","low_growth"
"147",2001,"11","Government",21326,468,319,269,151,71,"low_turnover","medium_growth"
"148",2001,"11","Information",3536,69,114,134,67,62,"low_turnover","low_growth"
"149",2001,"11","Leisure and hospitality",11985,452,819,868,466,385,"high_turnover","medium_growth"
"150",2001,"11","Manufacturing",15825,186,371,490,179,284,"medium_turnover","medium_growth"
"151",2001,"11","Mining and logging",600,6,23,28,10,15,"low_turnover","low_growth"
"152",2001,"11","Other services",5314,166,195,178,118,53,"low_turnover","low_growth"
"153",2001,"11","Professional and business services",16133,604,806,872,383,409,"high_turnover","high_growth"
"154",2001,"11","Retail trade",15150.7,419,767,782,470,278,"high_turnover","high_growth"
"155",2001,"11","Total private",109816,3181,4595,4855,2393,2189,"high_turnover","high_growth"
"156",2001,"11","Trade, transportation, and utilities",25655,637,1068,1137,616,467,"high_turnover","high_growth"
"157",2001,"12","Construction",6785,92,455,440,143,285,"medium_turnover","medium_growth"
"158",2001,"12","Education and health services",16097,737,480,416,283,104,"medium_turnover","high_growth"
"159",2001,"12","Financial activities",7934,202,208,181,85,70,"low_turnover","low_growth"
"160",2001,"12","Government",21355,417,334,295,160,84,"low_turnover","medium_growth"
"161",2001,"12","Information",3521,83,106,127,69,54,"low_turnover","low_growth"
"162",2001,"12","Leisure and hospitality",11967,434,810,798,483,288,"high_turnover","medium_growth"
"163",2001,"12","Manufacturing",15711,187,386,465,157,273,"medium_turnover","medium_growth"
"164",2001,"12","Mining and logging",598,15,19,17,5,10,"low_turnover","low_growth"
"165",2001,"12","Other services",5333,174,203,182,127,38,"low_turnover","low_growth"
"166",2001,"12","Professional and business services",16107,585,804,825,401,333,"high_turnover","high_growth"
"167",2001,"12","Retail trade",15101.2,427,750,786,473,265,"high_turnover","high_growth"
"168",2001,"12","Total private",109627,3105,4495,4551,2393,1848,"high_turnover","high_growth"
"169",2001,"12","Trade, transportation, and utilities",25574,597,1024,1101,638,393,"high_turnover","high_growth"
"170",2002,"01","Construction",6775,119,426,435,171,242,"medium_turnover","medium_growth"
"171",2002,"01","Education and health services",16150,760,523,479,271,161,"medium_turnover","high_growth"
"172",2002,"01","Financial activities",7939,311,223,239,149,66,"low_turnover","low_growth"
"173",2002,"01","Government",21377,399,323,293,152,89,"low_turnover","medium_growth"
"174",2002,"01","Information",3494,142,104,125,63,52,"low_turnover","low_growth"
"175",2002,"01","Leisure and hospitality",12006,356,780,779,542,208,"high_turnover","medium_growth"
"176",2002,"01","Manufacturing",15587,301,364,482,171,263,"medium_turnover","medium_growth"
"177",2002,"01","Mining and logging",599,17,21,22,11,8,"low_turnover","low_growth"
"178",2002,"01","Other services",5343,165,195,185,107,59,"low_turnover","low_growth"
"179",2002,"01","Professional and business services",16072,592,869,980,535,346,"high_turnover","high_growth"
"180",2002,"01","Retail trade",15065.2,399,728,820,501,285,"high_turnover","high_growth"
"181",2002,"01","Total private",109475,3383,4532,4891,2704,1819,"high_turnover","high_growth"
"182",2002,"01","Trade, transportation, and utilities",25510,621,1026,1165,683,413,"high_turnover","high_growth"
"183",2002,"02","Construction",6766,94,427,447,162,270,"medium_turnover","medium_growth"
"184",2002,"02","Education and health services",16199,767,487,442,264,147,"medium_turnover","high_growth"
"185",2002,"02","Financial activities",7931,160,201,186,98,78,"low_turnover","low_growth"
"186",2002,"02","Government",21390,477,316,314,163,93,"low_turnover","medium_growth"
"187",2002,"02","Information",3471,98,90,102,60,31,"low_turnover","low_growth"
"188",2002,"02","Leisure and hospitality",11962,414,826,818,523,267,"high_turnover","medium_growth"
"189",2002,"02","Manufacturing",15515,246,408,487,198,248,"high_turnover","medium_growth"
"190",2002,"02","Mining and logging",595,16,19,22,13,8,"low_turnover","low_growth"
"191",2002,"02","Other services",5354,148,187,176,114,47,"low_turnover","low_growth"
"192",2002,"02","Professional and business services",16042,418,811,831,403,347,"high_turnover","high_growth"
"193",2002,"02","Retail trade",15074.5,354,723,738,419,277,"high_turnover","medium_growth"
"194",2002,"02","Total private",109346,2900,4485,4562,2395,1871,"high_turnover","high_growth"
"195",2002,"02","Trade, transportation, and utilities",25511,539,1029,1051,560,427,"high_turnover","high_growth"
"196",2002,"03","Construction",6755,141,428,428,147,255,"medium_turnover","medium_growth"
"197",2002,"03","Education and health services",16240,711,468,410,227,140,"medium_turnover","high_growth"
"198",2002,"03","Financial activities",7929,221,207,188,104,60,"low_turnover","low_growth"
"199",2002,"03","Government",21431,469,331,284,137,92,"low_turnover","medium_growth"
"200",2002,"03","Information",3454,91,98,111,63,42,"low_turnover","low_growth"
"201",2002,"03","Leisure and hospitality",11965,410,775,784,534,223,"high_turnover","medium_growth"
"202",2002,"03","Manufacturing",15443,215,369,441,185,221,"medium_turnover","medium_growth"
"203",2002,"03","Mining and logging",588,4,17,24,7,12,"low_turnover","low_growth"
"204",2002,"03","Other services",5362,161,153,152,95,47,"low_turnover","low_growth"
"205",2002,"03","Professional and business services",16057,548,850,849,413,352,"high_turnover","high_growth"
"206",2002,"03","Retail trade",15074.2,367,712,736,428,285,"high_turnover","medium_growth"
"207",2002,"03","Total private",109286,3104,4376,4425,2342,1779,"high_turnover","high_growth"
"208",2002,"03","Trade, transportation, and utilities",25493,602,1010,1039,567,427,"high_turnover","high_growth"
"209",2002,"04","Construction",6710,151,431,447,166,262,"medium_turnover","medium_growth"
"210",2002,"04","Education and health services",16281,715,500,470,277,143,"medium_turnover","high_growth"
"211",2002,"04","Financial activities",7936,245,221,244,149,69,"low_turnover","low_growth"
"212",2002,"04","Government",21443,462,340,316,157,102,"low_turnover","medium_growth"
"213",2002,"04","Information",3434,101,92,126,53,62,"low_turnover","low_growth"
"214",2002,"04","Leisure and hospitality",11928,376,828,842,525,281,"high_turnover","medium_growth"
"215",2002,"04","Manufacturing",15392,261,422,464,198,227,"high_turnover","medium_growth"
"216",2002,"04","Mining and logging",587,9,16,18,4,12,"low_turnover","low_growth"
"217",2002,"04","Other services",5366,143,178,177,102,64,"low_turnover","low_growth"
"218",2002,"04","Professional and business services",16058,541,850,850,414,356,"high_turnover","high_growth"
"219",2002,"04","Retail trade",15079.9,331,738,719,423,247,"high_turnover","medium_growth"
"220",2002,"04","Total private",109180,3114,4588,4674,2476,1854,"high_turnover","high_growth"
"221",2002,"04","Trade, transportation, and utilities",25488,573,1048,1035,587,376,"high_turnover","high_growth"
"222",2002,"05","Construction",6684,167,408,439,158,272,"medium_turnover","medium_growth"
"223",2002,"05","Education and health services",16328,668,482,443,283,133,"medium_turnover","high_growth"
"224",2002,"05","Financial activities",7934,208,218,210,104,91,"low_turnover","low_growth"
"225",2002,"05","Government",21514,463,347,284,134,97,"low_turnover","medium_growth"
"226",2002,"05","Information",3416,96,83,98,50,44,"low_turnover","low_growth"
"227",2002,"05","Leisure and hospitality",11936,399,800,794,513,259,"high_turnover","medium_growth"
"228",2002,"05","Manufacturing",15337,251,411,470,197,236,"high_turnover","medium_growth"
"229",2002,"05","Mining and logging",583,5,17,22,9,9,"low_turnover","low_growth"
"230",2002,"05","Other services",5369,158,192,198,130,64,"low_turnover","low_growth"
"231",2002,"05","Professional and business services",16067,567,850,855,455,321,"high_turnover","high_growth"
"232",2002,"05","Retail trade",15054.2,321,763,727,364,328,"high_turnover","medium_growth"
"233",2002,"05","Total private",109120,3045,4509,4542,2402,1880,"high_turnover","high_growth"
"234",2002,"05","Trade, transportation, and utilities",25466,525,1049,1013,504,451,"high_turnover","high_growth"
"235",2002,"06","Construction",6701,143,438,429,126,297,"medium_turnover","medium_growth"
"236",2002,"06","Education and health services",16422,753,515,426,255,143,"medium_turnover","high_growth"
"237",2002,"06","Financial activities",7938,235,214,220,110,100,"low_turnover","low_growth"
"238",2002,"06","Government",21549,425,315,297,150,89,"low_turnover","medium_growth"
"239",2002,"06","Information",3401,56,92,108,54,47,"low_turnover","low_growth"
"240",2002,"06","Leisure and hospitality",11905,342,782,798,488,274,"high_turnover","medium_growth"
"241",2002,"06","Manufacturing",15298,263,400,443,191,218,"high_turnover","medium_growth"
"242",2002,"06","Mining and logging",579,8,18,20,10,9,"low_turnover","low_growth"
"243",2002,"06","Other services",5365,110,233,222,124,86,"low_turnover","low_growth"
"244",2002,"06","Professional and business services",16058,514,774,788,377,344,"high_turnover","high_growth"
"245",2002,"06","Retail trade",15045,366,780,814,496,268,"high_turnover","medium_growth"
"246",2002,"06","Total private",109135,2990,4554,4575,2379,1914,"high_turnover","high_growth"
"247",2002,"06","Trade, transportation, and utilities",25468,568,1088,1120,645,397,"high_turnover","high_growth"
"248",2002,"07","Construction",6688,115,467,489,174,305,"medium_turnover","medium_growth"
"249",2002,"07","Education and health services",16466,700,504,454,279,132,"medium_turnover","high_growth"
"250",2002,"07","Financial activities",7942,185,213,230,141,69,"low_turnover","low_growth"
"251",2002,"07","Government",21544,445,331,338,144,133,"low_turnover","medium_growth"
"252",2002,"07","Information",3381,109,84,107,57,45,"low_turnover","low_growth"
"253",2002,"07","Leisure and hospitality",11912,376,798,800,484,284,"high_turnover","medium_growth"
"254",2002,"07","Manufacturing",15256,287,417,451,194,214,"high_turnover","medium_growth"
"255",2002,"07","Mining and logging",577,9,21,28,7,16,"low_turnover","low_growth"
"256",2002,"07","Other services",5360,112,181,192,112,63,"low_turnover","low_growth"
"257",2002,"07","Professional and business services",15984,543,828,906,420,404,"high_turnover","high_growth"
"258",2002,"07","Retail trade",15046.7,391,789,783,410,317,"high_turnover","high_growth"
"259",2002,"07","Total private",109046,3016,4615,4764,2436,1988,"high_turnover","high_growth"
"260",2002,"07","Trade, transportation, and utilities",25480,580,1100,1107,567,456,"high_turnover","high_growth"
"261",2002,"08","Construction",6701,117,421,427,158,238,"medium_turnover","medium_growth"
"262",2002,"08","Education and health services",16489,709,462,446,282,134,"medium_turnover","high_growth"
"263",2002,"08","Financial activities",7949,203,212,214,119,78,"low_turnover","low_growth"
"264",2002,"08","Government",21589,448,349,314,147,102,"low_turnover","medium_growth"
"265",2002,"08","Information",3371,73,86,97,54,41,"low_turnover","low_growth"
"266",2002,"08","Leisure and hospitality",11936,395,821,787,476,284,"high_turnover","medium_growth"
"267",2002,"08","Manufacturing",15171,236,382,459,204,218,"high_turnover","medium_growth"
"268",2002,"08","Mining and logging",577,9,24,23,10,10,"low_turnover","low_growth"
"269",2002,"08","Other services",5369,140,209,192,114,71,"low_turnover","low_growth"
"270",2002,"08","Professional and business services",16012,617,847,784,436,292,"high_turnover","high_growth"
"271",2002,"08","Retail trade",14997,376,735,781,424,300,"high_turnover","medium_growth"
"272",2002,"08","Total private",108998,3083,4522,4531,2419,1813,"high_turnover","high_growth"
"273",2002,"08","Trade, transportation, and utilities",25423,584,1058,1102,566,447,"high_turnover","high_growth"
"274",2002,"09","Construction",6702,148,468,470,168,283,"medium_turnover","medium_growth"
"275",2002,"09","Education and health services",16509,702,466,442,242,153,"medium_turnover","high_growth"
"276",2002,"09","Financial activities",7963,170,215,203,111,68,"low_turnover","low_growth"
"277",2002,"09","Government",21546,398,323,336,156,119,"low_turnover","medium_growth"
"278",2002,"09","Information",3345,66,83,109,66,37,"low_turnover","low_growth"
"279",2002,"09","Leisure and hospitality",11991,351,807,756,491,235,"high_turnover","medium_growth"
"280",2002,"09","Manufacturing",15119,237,404,457,194,230,"high_turnover","medium_growth"
"281",2002,"09","Mining and logging",576,6,19,19,9,7,"low_turnover","low_growth"
"282",2002,"09","Other services",5384,142,213,207,119,71,"low_turnover","low_growth"
"283",2002,"09","Professional and business services",15988,572,811,830,406,363,"high_turnover","high_growth"
"284",2002,"09","Retail trade",14982.5,334,767,785,429,311,"high_turnover","medium_growth"
"285",2002,"09","Total private",108955,2892,4556,4583,2366,1897,"high_turnover","high_growth"
"286",2002,"09","Trade, transportation, and utilities",25378,497,1069,1089,560,451,"high_turnover","high_growth"
"287",2002,"10","Construction",6689,123,449,463,145,300,"medium_turnover","medium_growth"
"288",2002,"10","Education and health services",16541,657,466,452,281,135,"medium_turnover","high_growth"
"289",2002,"10","Financial activities",7992,272,198,177,109,50,"low_turnover","low_growth"
"290",2002,"10","Government",21559,376,337,322,146,104,"low_turnover","medium_growth"
"291",2002,"10","Information",3350,86,93,90,44,40,"low_turnover","low_growth"
"292",2002,"10","Leisure and hospitality",12070,382,786,725,457,240,"high_turnover","medium_growth"
"293",2002,"10","Manufacturing",15060,221,370,451,171,231,"medium_turnover","medium_growth"
"294",2002,"10","Mining and logging",576,10,18,18,7,7,"low_turnover","low_growth"
"295",2002,"10","Other services",5391,152,199,181,119,52,"low_turnover","low_growth"
"296",2002,"10","Professional and business services",16007,645,856,832,407,355,"high_turnover","high_growth"
"297",2002,"10","Retail trade",14988.7,360,733,730,376,319,"high_turnover","medium_growth"
"298",2002,"10","Total private",109069,3126,4460,4414,2280,1835,"high_turnover","high_growth"
"299",2002,"10","Trade, transportation, and utilities",25393,579,1026,1026,540,425,"high_turnover","high_growth"
"300",2002,"11","Construction",6713,86,418,403,127,256,"medium_turnover","medium_growth"
"301",2002,"11","Education and health services",16587,757,462,404,256,123,"medium_turnover","high_growth"
"302",2002,"11","Financial activities",8003,223,212,185,95,73,"low_turnover","low_growth"
"303",2002,"11","Government",21581,411,348,328,155,107,"low_turnover","medium_growth"
"304",2002,"11","Information",3328,70,89,110,56,45,"low_turnover","low_growth"
"305",2002,"11","Leisure and hospitality",12109,406,803,772,433,313,"high_turnover","medium_growth"
"306",2002,"11","Manufacturing",14992,186,378,433,174,215,"medium_turnover","medium_growth"
"307",2002,"11","Mining and logging",577,5,19,19,8,7,"low_turnover","low_growth"
"308",2002,"11","Other services",5405,162,191,176,110,49,"low_turnover","low_growth"
"309",2002,"11","Professional and business services",15964,590,830,821,414,338,"high_turnover","high_growth"
"310",2002,"11","Retail trade",14970.7,308,752,768,422,294,"high_turnover","medium_growth"
"311",2002,"11","Total private",109034,2995,4443,4395,2233,1842,"high_turnover","high_growth"
"312",2002,"11","Trade, transportation, and utilities",25356,510,1042,1072,560,423,"high_turnover","high_growth"
"313",2002,"12","Construction",6700,82,444,442,139,263,"medium_turnover","medium_growth"
"314",2002,"12","Education and health services",16606,626,496,471,289,151,"medium_turnover","high_growth"
"315",2002,"12","Financial activities",8017,218,245,208,110,75,"low_turnover","low_growth"
"316",2002,"12","Government",21588,348,318,307,146,85,"low_turnover","medium_growth"
"317",2002,"12","Information",3288,51,80,112,65,38,"low_turnover","low_growth"
"318",2002,"12","Leisure and hospitality",12112,377,828,797,471,292,"high_turnover","medium_growth"
"319",2002,"12","Manufacturing",14912,187,369,428,158,239,"medium_turnover","medium_growth"
"320",2002,"12","Mining and logging",577,3,20,18,9,7,"low_turnover","low_growth"
"321",2002,"12","Other services",5399,132,184,199,116,75,"low_turnover","low_growth"
"322",2002,"12","Professional and business services",15900,559,866,919,447,393,"high_turnover","high_growth"
"323",2002,"12","Retail trade",14986.1,288,760,735,418,265,"high_turnover","medium_growth"
"324",2002,"12","Total private",108884,2691,4575,4612,2344,1929,"high_turnover","high_growth"
"325",2002,"12","Trade, transportation, and utilities",25373,455,1044,1019,540,397,"high_turnover","high_growth"
"326",2003,"01","Construction",6704,100,477,465,145,291,"medium_turnover","medium_growth"
"327",2003,"01","Education and health services",16656,643,523,480,279,145,"medium_turnover","high_growth"
"328",2003,"01","Financial activities",8025,212,224,237,116,88,"low_turnover","low_growth"
